Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.11,作答时长(毫秒).77,您是否曾见过包含以上内容的信息？.14,作答时长(毫秒).78,您认为这条健康信息的可信度如何？.11,作答时长(毫秒).79,您是否愿意分享该健康信息？.13,作答时长(毫秒).80,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
63.0,谣言信息3 展示,辟谣信息3d,1184,31-40岁,737,高中/中专,1450,0,1,0,0,0,0,0,0,406,1,1000,是,3070,5,1425,3,275,非常不满意,779,5,1878,4,225,1,56797,是,2305,5,2143,4,249,1,1000,6,9540,4,267,有些动摇，但仍倾向相信,1304
73.0,谣言信息3 展示,辟谣信息3d,1167,31-40岁,523,本科,1325,1,1,0,0,1,0,0,0,2321,1,1000,是,2541,6,615,3,701,非常不满意,1337,6,3462,5,339,1,9520,是,2570,5,702,5,425,1,1000,6,7758,5,409,完全没有变化，仍然相信,1573
114.0,谣言信息3 展示,辟谣信息3d,1046,18-30岁,1041,本科,1077,0,0,1,0,0,1,0,0,1100,1,1000,是,3185,6,1091,6,426,非常不满意,3548,6,2055,5,878,1,39164,是,2683,5,2111,4,442,1,1000,6,5977,5,305,观点发生明显变化，现在不太相信,1408
126.0,谣言信息3 展示,辟谣信息3d,4957,18-30岁,2302,高中/中专,2239,1,0,1,0,0,1,0,0,22160,1,1000,是,11743,6,2171,6,6584,非常不满意,9418,7,5492,6,3307,1,42364,是,19162,5,1060,7,2117,1,1000,3,6709,7,1960,观点发生明显变化，现在不太相信,6197
179.0,谣言信息3 展示,辟谣信息3d,14701,31-40岁,550,硕士及以上,538,0,0,1,1,1,1,1,0,1916,1,1000,是,5421,6,542,6,1033,非常不满意,1052,6,6150,6,1033,1,55341,是,36889,6,542,6,1034,1,1000,7,6103,7,1041,完全没有变化，仍然相信,6082
219.0,谣言信息3 展示,辟谣信息3d,153,31-40岁,187,本科,268,0,0,0,1,0,0,0,0,1007,1,1000,否,1413,5,205,4,610,非常不满意,258,3,1783,5,393,1,4748,是,959,6,263,5,243,1,1000,6,1536,4,159,有些动摇，但仍倾向相信,774
260.0,谣言信息3 展示,辟谣信息3d,14685,51-60岁,544,初中及以下,579,0,1,1,1,1,0,1,0,1916,1,1000,是,5423,7,559,7,1065,非常不满意,1053,7,6190,6,1043,1,55317,是,36869,6,540,6,1043,1,1000,7,6102,7,1043,完全没有变化，仍然相信,6086
297.0,谣言信息3 展示,辟谣信息3d,14949,41-50岁,559,高中/中专,620,1,1,1,1,0,1,0,0,1995,1,1000,是,5445,7,574,7,1041,非常不满意,1047,7,6125,7,1045,1,55324,是,36890,6,539,6,1034,1,1000,7,6103,7,1034,完全没有变化，仍然相信,6080
356.0,谣言信息3 展示,辟谣信息3d,14621,60岁以上,549,本科,535,0,0,1,1,0,1,1,0,1575,1,1000,是,5407,6,536,6,1043,非常不满意,1066,7,6137,7,1040,1,55298,是,36920,7,580,7,1038,1,1000,7,6097,7,1038,完全没有变化，仍然相信,6100
361.0,谣言信息3 展示,辟谣信息3d,14794,18-30岁,574,硕士及以上,554,0,1,1,1,1,0,0,0,1565,1,1000,是,5397,7,541,7,1044,非常不满意,1065,6,6145,6,1045,1,55347,是,36905,7,555,7,1038,1,1000,6,6090,6,1034,完全没有变化，仍然相信,6105
430.0,谣言信息3 展示,辟谣信息3d,1492,18-30岁,492,本科,2134,0,1,1,0,0,0,0,0,1035,1,1000,是,3356,4,1779,3,986,非常不满意,3354,6,3886,5,300,1,26533,是,2034,4,840,4,465,1,1000,7,3839,5,431,,
467.0,谣言信息3 展示,辟谣信息3d,990,31-40岁,225,高中/中专,947,0,0,0,0,1,0,0,0,132,1,1000,是,2082,6,314,6,717,非常不满意,372,5,1125,6,278,1,5686,是,1481,6,1349,6,416,1,1000,7,2433,4,284,有些动摇，但仍倾向相信,1476
477.0,谣言信息3 展示,辟谣信息3d,1059,31-40岁,467,本科,1226,0,1,0,0,0,0,0,0,947,1,1000,是,2474,7,362,6,1240,非常不满意,525,3,6516,5,312,1,7096,是,1493,7,797,4,302,1,1000,7,3133,4,253,有些动摇，但仍倾向相信,1018
486.0,谣言信息3 展示,辟谣信息3d,19693,31-40岁,586,高中/中专,618,0,1,1,0,1,1,0,0,3860,1,1000,是,6198,4,580,4,1086,非常不满意,1096,4,5733,5,1094,1,41518,是,26897,6,594,6,1079,1,1000,6,6228,4,1078,,
528.0,谣言信息3 展示,辟谣信息3d,19757,31-40岁,586,本科,612,0,0,1,1,1,1,0,0,3841,1,1000,是,6253,2,600,4,1090,非常不满意,1076,3,5686,5,1081,1,41509,是,26914,5,579,5,1086,1,1000,3,6172,5,1068,,
550.0,谣言信息3 展示,辟谣信息3d,19498,51-60岁,591,初中及以下,607,1,0,0,1,1,0,1,0,3802,1,1000,是,6261,4,570,3,1101,非常不满意,1161,3,5700,4,1090,1,41472,是,26915,3,574,3,1075,1,1000,3,6231,3,1065,,
580.0,谣言信息3 展示,辟谣信息3d,19793,31-40岁,613,高中/中专,577,1,1,1,1,0,0,1,0,4868,1,1000,是,6183,6,577,6,1075,非常不满意,1076,4,5643,6,1076,1,41474,是,26890,1,575,4,1075,1,1000,1,6172,3,1077,有些动摇，但仍倾向相信,6166
607.0,谣言信息3 展示,辟谣信息3d,19742,41-50岁,600,硕士及以上,596,1,0,1,0,1,1,1,0,4866,1,1000,是,6200,7,581,4,1083,非常不满意,1073,5,5699,4,1075,1,41470,是,27028,4,585,2,1073,1,1000,2,6167,1,1091,完全改变观点，现在完全不相信,6308
652.0,谣言信息3 展示,辟谣信息3d,19527,18-30岁,579,硕士及以上,592,1,1,1,1,1,0,1,0,5936,1,1000,是,6212,7,588,6,1077,非常不满意,1066,7,5637,5,1078,1,41442,是,26905,5,574,2,1059,1,1000,3,6203,2,1070,完全没有变化，仍然相信,6173
658.0,谣言信息3 展示,辟谣信息3d,19756,18-30岁,581,本科,570,0,1,1,1,1,0,0,0,3798,1,1000,是,6185,5,580,4,1074,非常不满意,1091,4,5648,5,1068,1,41481,是,26948,4,581,5,1069,1,1000,2,6146,2,1062,完全没有变化，仍然相信,6160
718.0,谣言信息3 展示,辟谣信息3d,19797,18-30岁,589,本科,577,1,0,1,1,1,1,1,0,5993,1,1000,是,6195,6,574,6,1080,非常不满意,1078,7,5673,7,1093,1,41463,是,26907,7,584,7,1084,1,1000,6,6179,6,1072,完全没有变化，仍然相信,6162
754.0,谣言信息3 展示,辟谣信息3d,19625,51-60岁,585,高中/中专,569,1,0,0,1,0,0,1,0,2717,1,1000,是,6195,2,568,2,1066,非常不满意,1073,3,5668,2,1081,1,41421,是,26918,2,566,2,1055,1,1000,4,6152,6,1072,,
794.0,谣言信息3 展示,辟谣信息3d,19620,41-50岁,581,硕士及以上,581,1,1,1,1,0,1,1,0,5992,1,1000,是,6206,1,577,3,1102,非常不满意,1067,3,5772,3,1104,1,41394,是,26910,4,578,3,1091,1,1000,3,6167,3,1077,,
822.0,谣言信息3 展示,辟谣信息3d,19749,51-60岁,585,高中/中专,576,1,0,1,1,1,1,0,0,4877,1,1000,是,6212,7,617,2,1107,非常不满意,1081,5,5674,6,1078,1,41447,是,26930,1,585,1,1080,1,1000,1,6220,3,1093,有些动摇，但仍倾向相信,6200
