Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题.3,作答时长(毫秒).23,您是否曾见过包含以上内容的信息？.4,作答时长(毫秒).24,您认为这条健康信息的可信度如何？.3,作答时长(毫秒).25,您是否愿意分享该健康信息？.3,作答时长(毫秒).26,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
177.0,谣言信息1 展示,辟谣信息1b,6594,60岁以上,555,硕士及以上,551,0,1,1,0,1,1,0,0,1591,1,1000,是,5421,7,544,7,1044,非常不满意,1065,7,6148,6,1040,1,1000,是,21118,6,552,6,1039,1,1000,6,6090,6,1036,完全没有变化，仍然相信,6086
197.0,谣言信息1 展示,辟谣信息1b,14318,60岁以上,550,本科,535,1,1,0,0,1,0,1,0,1544,1,1000,是,5414,7,548,7,1045,非常不满意,1050,6,6136,6,1040,1,1000,是,21088,6,546,6,1048,1,1000,6,6089,6,1029,完全没有变化，仍然相信,6113
247.0,谣言信息1 展示,辟谣信息1b,13457,18-30岁,549,高中/中专,550,0,1,1,1,0,0,1,0,1564,1,1000,是,5401,7,549,6,1046,非常不满意,1054,7,6131,7,1043,1,1000,是,21114,6,546,6,1042,1,1000,6,6100,7,1037,完全没有变化，仍然相信,6090
263.0,谣言信息1 展示,辟谣信息1b,14658,60岁以上,557,高中/中专,551,0,0,1,1,1,0,1,0,1575,1,1000,是,5436,7,548,7,1046,非常不满意,1059,7,6169,7,1039,1,1000,是,21100,7,534,7,1034,1,1000,6,6085,6,1048,完全没有变化，仍然相信,6101
274.0,谣言信息1 展示,辟谣信息1b,14750,51-60岁,561,初中及以下,558,0,1,1,0,0,1,0,0,1227,1,1000,是,5423,7,546,7,1048,非常不满意,1057,6,6134,7,1042,1,1000,是,21083,7,532,7,1028,1,1000,6,6093,6,1036,完全没有变化，仍然相信,6089
275.0,谣言信息1 展示,辟谣信息1b,14036,31-40岁,559,初中及以下,544,1,1,0,0,0,1,1,0,1571,1,1000,是,5434,6,548,6,1040,非常不满意,1050,6,6170,6,1042,1,1000,是,21096,6,544,6,1030,1,1000,6,6080,6,1047,完全没有变化，仍然相信,6100
326.0,谣言信息1 展示,辟谣信息1b,14670,18-30岁,556,初中及以下,552,1,1,1,1,0,1,0,0,1920,1,1000,是,5420,7,545,7,1049,非常不满意,1049,6,6162,6,1048,1,1000,是,21110,6,543,6,1037,1,1000,6,6092,6,1049,完全没有变化，仍然相信,6100
336.0,谣言信息1 展示,辟谣信息1b,13519,51-60岁,558,初中及以下,549,1,0,1,0,1,1,1,0,1929,1,1000,是,5439,6,545,6,1048,非常不满意,1069,7,6206,7,1061,1,1000,是,21101,6,544,7,1044,1,1000,7,6101,6,1041,完全没有变化，仍然相信,6088
366.0,谣言信息1 展示,辟谣信息1b,13494,60岁以上,572,高中/中专,556,1,1,0,1,0,1,0,0,1576,1,1000,是,5439,7,550,6,1050,非常不满意,1053,6,6149,6,1055,1,1000,是,21102,6,555,6,1039,1,1000,6,6096,6,1050,完全没有变化，仍然相信,6101
369.0,谣言信息1 展示,辟谣信息1b,14717,41-50岁,548,初中及以下,555,1,0,1,1,0,1,1,0,1921,1,1000,是,5420,6,557,6,1050,非常不满意,1079,6,6151,6,1060,1,1000,是,21083,6,532,6,1042,1,1000,6,6082,6,1035,完全没有变化，仍然相信,6077
397.0,谣言信息1 展示,辟谣信息1b,1794,31-40岁,1111,本科,1723,0,0,0,1,0,0,0,0,2735,1,1000,否,24549,4,5966,1,5032,非常不满意,1736,7,14369,7,1839,1,1000,否,10763,4,2508,4,4269,1,1000,5,4552,3,518,,
418.0,谣言信息1 展示,辟谣信息1b,1330,18-30岁,594,本科,1456,1,1,1,0,0,0,0,0,1400,1,1000,是,5315,5,1232,7,861,非常不满意,488,5,3644,7,330,1,1000,是,1855,4,439,7,375,1,1000,4,1586,6,304,完全没有变化，仍然相信,1392
424.0,谣言信息1 展示,辟谣信息1b,214,31-40岁,821,本科,549,0,0,0,0,1,0,0,0,495,1,1000,否,646,7,3450,4,1188,非常不满意,643,6,247,6,1498,1,1000,是,994,6,1040,6,265,1,1000,6,1535,5,257,观点发生明显变化，现在不太相信,1181
438.0,谣言信息1 展示,辟谣信息1b,11043,18-30岁,2268,高中/中专,1648,1,1,1,1,0,0,0,0,6496,1,1000,否,15653,5,10470,3,517,非常不满意,2427,5,4361,4,731,1,1000,是,6226,5,867,4,3454,1,1000,3,2989,5,568,完全没有变化，仍然相信,3875
459.0,谣言信息1 展示,辟谣信息1b,1500,18-30岁,2302,本科,1306,1,1,0,0,0,0,0,0,4152,1,1000,是,6575,4,3422,1,3169,非常不满意,2100,7,11390,7,2559,1,1000,是,5713,5,2271,3,2879,1,1000,4,3409,2,999,,
482.0,谣言信息1 展示,辟谣信息1b,675,18-30岁,387,高中/中专,1915,0,1,1,0,0,0,0,0,461,1,1000,是,3765,5,3367,5,217,非常不满意,2797,5,1729,5,824,1,1000,是,1179,5,339,5,1300,1,1000,5,1695,5,347,有些动摇，但仍倾向相信,1439
511.0,谣言信息1 展示,辟谣信息1b,19483,51-60岁,607,硕士及以上,585,1,0,1,1,0,0,1,0,3829,1,1000,是,6183,1,591,2,1082,非常不满意,1094,5,5645,5,1082,1,1000,是,6159,4,587,6,1086,1,1000,5,6189,6,1092,,
526.0,谣言信息1 展示,辟谣信息1b,19808,41-50岁,576,本科,585,1,1,0,1,0,0,0,0,2733,1,1000,是,6233,5,587,4,1080,非常不满意,1100,5,5694,6,1082,1,1000,是,6180,4,595,4,1092,1,1000,3,6237,3,1111,有些动摇，但仍倾向相信,6179
543.0,谣言信息1 展示,辟谣信息1b,17681,41-50岁,593,本科,586,1,0,1,1,0,1,1,0,4865,1,1000,是,6196,6,563,6,1087,非常不满意,1072,5,5638,4,1120,1,1000,是,6155,6,588,5,1075,1,1000,7,6154,5,1088,有些动摇，但仍倾向相信,6146
570.0,谣言信息1 展示,辟谣信息1b,19724,51-60岁,602,初中及以下,596,0,0,0,1,1,1,1,0,3872,1,1000,是,6212,6,615,4,1078,非常不满意,1081,3,5748,5,1095,1,1000,是,6201,5,587,4,1082,1,1000,3,6220,4,1091,完全没有变化，仍然相信,6211
619.0,谣言信息1 展示,辟谣信息1b,18566,51-60岁,583,硕士及以上,573,1,1,1,1,0,1,0,0,4839,1,1000,是,6175,6,582,6,1099,非常不满意,1066,6,5654,6,1083,1,1000,是,6220,6,568,6,1055,1,1000,6,6169,6,1060,观点发生明显变化，现在不太相信,6136
621.0,谣言信息1 展示,辟谣信息1b,19629,51-60岁,581,初中及以下,563,1,0,1,0,0,1,1,0,3785,1,1000,是,6229,7,573,7,1095,非常不满意,1066,6,5671,7,1078,1,1000,是,6175,7,583,6,1075,1,1000,6,6136,6,1090,完全改变观点，现在完全不相信,6168
657.0,谣言信息1 展示,辟谣信息1b,19522,18-30岁,590,硕士及以上,599,0,1,1,0,1,0,1,0,3851,1,1000,是,6204,7,598,7,1077,非常不满意,1061,6,5652,6,1075,1,1000,是,6139,7,562,7,1072,1,1000,6,6150,6,1074,完全没有变化，仍然相信,6161
659.0,谣言信息1 展示,辟谣信息1b,19622,18-30岁,603,硕士及以上,602,1,1,0,1,0,0,1,0,3828,1,1000,是,6212,6,583,6,1066,非常不满意,1069,6,5642,6,1064,1,1000,是,6140,6,564,7,1077,1,1000,7,6128,7,1069,观点发生明显变化，现在不太相信,6132
660.0,谣言信息1 展示,辟谣信息1b,18298,31-40岁,568,初中及以下,573,1,0,0,1,0,1,1,0,3780,1,1000,是,6167,4,572,5,1088,非常不满意,1075,5,5651,3,1079,1,1000,是,6164,5,578,5,1065,1,1000,3,6157,3,1061,,
678.0,谣言信息1 展示,辟谣信息1b,19489,41-50岁,608,高中/中专,586,1,0,0,0,1,1,0,0,2898,1,1000,是,6173,6,582,6,1077,非常不满意,1229,6,5746,6,1070,1,1000,是,6150,6,568,6,1063,1,1000,6,6156,6,1067,完全改变观点，现在完全不相信,6188
702.0,谣言信息1 展示,辟谣信息1b,19535,41-50岁,574,硕士及以上,574,0,1,0,0,1,1,1,0,3836,1,1000,是,6186,6,580,6,1096,非常不满意,1066,6,5638,6,1079,1,1000,是,6147,6,557,6,1072,1,1000,6,6153,6,1072,完全没有变化，仍然相信,6170
744.0,谣言信息1 展示,辟谣信息1b,19543,18-30岁,599,高中/中专,577,0,1,1,0,0,1,1,0,3864,1,1000,是,6199,1,595,3,1087,非常不满意,1069,4,5634,2,1115,1,1000,是,6207,2,581,3,1069,1,1000,4,6125,3,1074,,
750.0,谣言信息1 展示,辟谣信息1b,19889,60岁以上,584,本科,570,1,0,1,0,1,0,1,0,3783,1,1000,是,6238,3,584,3,1077,非常不满意,1083,2,5669,3,1078,1,1000,是,6174,3,571,4,1069,1,1000,3,6134,3,1071,,
771.0,谣言信息1 展示,辟谣信息1b,19425,60岁以上,605,初中及以下,588,1,0,0,1,1,0,1,0,3776,1,1000,是,6183,6,590,6,1073,非常不满意,1072,5,5675,6,1085,1,1000,是,6166,6,569,4,1068,1,1000,5,6140,5,1071,完全改变观点，现在完全不相信,6140
788.0,谣言信息1 展示,辟谣信息1b,19383,41-50岁,577,本科,572,0,1,0,1,1,1,0,0,3845,1,1000,是,6198,4,595,2,1102,非常不满意,1081,5,5641,4,1081,1,1000,是,6155,5,572,3,1056,1,1000,3,6144,3,1068,,
801.0,谣言信息1 展示,辟谣信息1b,19598,18-30岁,575,初中及以下,570,0,1,0,1,1,1,1,0,4875,1,1000,是,6214,2,587,1,1064,非常不满意,1086,3,5661,1,1076,1,1000,是,6174,2,582,4,1063,1,1000,4,6171,3,1063,,
829.0,谣言信息1 展示,辟谣信息1b,19669,41-50岁,590,初中及以下,580,0,1,1,1,0,1,0,0,3805,1,1000,是,6212,7,618,7,1102,非常不满意,1087,7,5693,7,1074,1,1000,是,6168,6,616,7,1084,1,1000,6,6192,7,1091,观点发生明显变化，现在不太相信,6182
831.0,谣言信息1 展示,辟谣信息1b,19850,41-50岁,590,高中/中专,586,1,0,1,1,0,0,1,0,3794,1,1000,是,6227,7,595,5,1076,非常不满意,1114,6,5693,4,1080,1,1000,是,6209,4,579,6,1093,1,1000,5,6192,6,1080,完全改变观点，现在完全不相信,6195
