Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.8,作答时长(毫秒).65,您是否曾见过包含以上内容的信息？.11,作答时长(毫秒).66,您认为这条健康信息的可信度如何？.8,作答时长(毫秒).67,您是否愿意分享该健康信息？.10,作答时长(毫秒).68,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
562.0,谣言信息3 展示,辟谣信息3a,19126,31-40岁,601,高中/中专,602,1,1,1,0,1,0,1,0,4922,1,1000,是,6216,6,580,3,1086,非常不满意,1079,3,5661,5,1082,1,1000,是,6182,3,570,4,1075,1,1000,4,6174,3,1082,观点发生明显变化，现在不太相信,6190
634.0,谣言信息3 展示,辟谣信息3a,19562,18-30岁,591,本科,613,1,0,1,0,0,1,1,0,3960,1,1000,是,6203,7,615,7,1086,非常不满意,1069,6,5647,6,1071,1,1000,是,6146,6,574,6,1062,1,1000,7,6143,7,1055,完全改变观点，现在完全不相信,6144
643.0,谣言信息3 展示,辟谣信息3a,19865,41-50岁,604,高中/中专,581,1,1,0,1,1,1,0,0,4949,1,1000,是,6278,4,575,4,1076,非常不满意,1071,4,5712,4,1120,1,1000,是,6258,2,588,1,1076,1,1000,4,6152,4,1077,,
645.0,谣言信息3 展示,辟谣信息3a,19818,41-50岁,621,硕士及以上,738,1,1,0,1,1,0,0,0,4227,1,1000,是,6253,7,583,7,1100,非常不满意,1104,7,5673,4,1073,1,1000,是,6261,5,576,4,1067,1,1000,3,6141,2,1097,有些动摇，但仍倾向相信,6201
655.0,谣言信息3 展示,辟谣信息3a,19706,31-40岁,582,硕士及以上,605,1,1,1,0,1,1,0,0,4848,1,1000,是,6210,7,579,7,1076,非常不满意,1068,6,5648,6,1060,1,1000,是,6158,7,569,7,1064,1,1000,7,6142,7,1065,观点发生明显变化，现在不太相信,6145
664.0,谣言信息3 展示,辟谣信息3a,19475,41-50岁,579,本科,584,1,1,0,0,1,1,1,0,4885,1,1000,是,6189,4,607,2,1076,非常不满意,1063,4,5649,4,1081,1,1000,是,6158,3,577,2,1068,1,1000,4,6132,4,1083,,
697.0,谣言信息3 展示,辟谣信息3a,19834,31-40岁,582,高中/中专,570,0,1,1,1,0,0,1,0,3811,1,1000,是,6200,6,578,6,1080,非常不满意,1070,6,5669,6,1074,1,1000,是,6176,6,560,6,1066,1,1000,6,6156,6,1065,完全没有变化，仍然相信,6154
710.0,谣言信息3 展示,辟谣信息3a,19430,18-30岁,593,高中/中专,576,1,1,1,0,0,1,1,0,4899,1,1000,是,6244,7,585,7,1069,非常不满意,1066,6,5655,6,1085,1,1000,是,6202,7,579,7,1070,1,1000,7,6149,6,1146,完全没有变化，仍然相信,6151
712.0,谣言信息3 展示,辟谣信息3a,19752,51-60岁,577,初中及以下,575,1,0,1,1,1,0,1,0,4902,1,1000,是,6198,3,572,3,1079,非常不满意,1083,3,5653,4,1078,1,1000,是,6176,4,616,4,1073,1,1000,5,6145,5,1111,,
715.0,谣言信息3 展示,辟谣信息3a,19451,51-60岁,579,硕士及以上,567,1,1,0,0,0,0,1,0,2748,1,1000,是,6217,4,593,5,1067,非常不满意,1078,4,5653,7,1068,1,1000,是,6151,7,565,4,1082,1,1000,6,6207,5,1072,,
724.0,谣言信息3 展示,辟谣信息3a,19364,51-60岁,576,本科,572,1,1,1,1,0,0,1,0,4881,1,1000,是,6235,7,568,6,1073,非常不满意,1084,7,5666,6,1100,1,1000,是,6194,7,559,7,1078,1,1000,6,6154,6,1073,完全改变观点，现在完全不相信,6143
725.0,谣言信息3 展示,辟谣信息3a,18923,51-60岁,602,初中及以下,580,1,1,1,0,1,1,1,0,5919,1,1000,是,6160,4,569,3,1078,非常不满意,1074,5,5640,4,1084,1,1000,是,6184,5,566,5,1069,1,1000,6,6142,5,1065,,
735.0,谣言信息3 展示,辟谣信息3a,19069,31-40岁,571,本科,577,0,1,1,1,0,1,0,0,3862,1,1000,是,6216,7,578,5,1092,非常不满意,1081,2,5658,1,1081,1,1000,是,6165,2,571,4,1075,1,1000,3,6154,4,1068,完全改变观点，现在完全不相信,6178
742.0,谣言信息3 展示,辟谣信息3a,19497,60岁以上,577,本科,576,0,1,1,1,1,0,1,0,4863,1,1000,是,6192,7,584,6,1069,非常不满意,1074,7,5660,6,1084,1,1000,是,6167,6,579,7,1072,1,1000,6,6147,6,1085,完全改变观点，现在完全不相信,6168
756.0,谣言信息3 展示,辟谣信息3a,19645,51-60岁,574,本科,582,1,0,1,1,1,0,1,0,4859,1,1000,是,6201,6,590,6,1069,非常不满意,1078,6,5661,6,1078,1,1000,是,6157,6,571,6,1068,1,1000,6,6140,6,1064,完全改变观点，现在完全不相信,6168
769.0,谣言信息3 展示,辟谣信息3a,20042,60岁以上,578,初中及以下,592,1,1,0,0,0,1,1,0,3892,1,1000,是,6211,7,583,6,1079,非常不满意,1066,7,5668,6,1061,1,1000,是,6184,6,575,6,1056,1,1000,6,6133,6,1060,有些动摇，但仍倾向相信,6154
776.0,谣言信息3 展示,辟谣信息3a,19750,31-40岁,567,初中及以下,572,1,0,1,0,0,1,0,0,2720,1,1000,是,6195,7,576,7,1067,非常不满意,1066,7,5643,7,1064,1,1000,是,6166,7,568,7,1057,1,1000,6,6131,6,1065,观点发生明显变化，现在不太相信,6146
808.0,谣言信息3 展示,辟谣信息3a,19782,60岁以上,592,初中及以下,574,0,0,0,1,1,0,1,0,2756,1,1000,是,6255,7,597,7,1077,非常不满意,1079,7,5639,6,1076,1,1000,是,6211,7,601,6,1076,1,1000,7,6150,7,1075,完全没有变化，仍然相信,6165
830.0,谣言信息3 展示,辟谣信息3a,19724,41-50岁,595,初中及以下,584,1,0,1,1,1,1,0,0,4900,1,1000,是,6199,7,614,6,1110,非常不满意,1084,7,5694,7,1068,1,1000,是,6200,6,594,7,1094,1,1000,7,6183,7,1080,观点发生明显变化，现在不太相信,6169
