Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请观看并回答问题,作答时长(毫秒).85,您是否曾见过包含以上内容的信息？.15,作答时长(毫秒).86,您认为这条信息的可信度如何？.3,作答时长(毫秒).87,如果您在社交媒体上看到此类信息，您会传播吗？.2,作答时长(毫秒).88,本题检测是否真人作答.3,作答时长(毫秒).89,您认为长期食用猪油可以给自己或身边人的健康带来正面影响吗？,作答时长(毫秒).90,您认为长期食用猪油可以给自己或身边人的健康带来多大好处？,作答时长(毫秒).91,观看以下信息并回答问题.14,作答时长(毫秒).100,您是否曾见过包含以上内容的信息？.18,作答时长(毫秒).101,您认为这条健康信息的可信度如何？.14,作答时长(毫秒).102,您是否愿意分享该健康信息？.17,作答时长(毫秒).103,请回顾初始健康信息并回答问题,作答时长(毫秒).108,您现在认为该健康信息的可信度如何？.2,作答时长(毫秒).109,您是否愿意分享该健康信息？.19,作答时长(毫秒).110,观看信息前后，您的观点是否发生变化？.3,作答时长(毫秒).111
211.0,谣言信息4展示,辟谣信息4c,14686,18-30岁,553,初中及以下,555,0,1,1,1,0,1,0,0,1597,1,1000,是,5414,7,540,7,1041,非常不满意,1054,7,6140,7,1042,1,32453,是,59785,7,546,7,1040,1,1000,6,6093,7,1036,完全没有变化，仍然相信,6114
223.0,谣言信息4展示,辟谣信息4c,14317,60岁以上,551,高中/中专,536,1,0,0,1,1,1,0,0,1562,1,1000,是,5435,7,552,6,1046,非常不满意,1064,6,6154,6,1052,1,32406,是,59799,6,604,6,1065,1,1000,6,6106,6,1041,完全没有变化，仍然相信,6082
231.0,谣言信息4展示,辟谣信息4c,14759,31-40岁,564,初中及以下,557,1,0,1,1,1,0,0,0,1579,1,1000,是,5451,7,547,7,1046,非常不满意,1069,7,6135,7,1046,1,32439,是,59796,6,547,6,1063,1,1000,6,6093,6,1037,完全没有变化，仍然相信,6100
236.0,谣言信息4展示,辟谣信息4c,14685,41-50岁,541,硕士及以上,536,0,1,0,1,1,1,0,0,1561,1,1000,是,5417,6,549,6,1045,非常不满意,1045,6,6132,6,1036,1,32404,是,59798,7,538,6,1044,1,1000,6,6096,6,1036,完全没有变化，仍然相信,6090
246.0,谣言信息4展示,辟谣信息4c,15112,41-50岁,547,硕士及以上,549,1,1,1,1,0,1,0,0,1922,1,1000,是,5417,7,555,6,1038,非常不满意,1049,6,6131,6,1037,1,32376,是,59791,6,539,6,1032,1,1000,7,6088,7,1041,完全没有变化，仍然相信,6093
254.0,谣言信息4展示,辟谣信息4c,14778,60岁以上,544,初中及以下,544,0,1,1,0,1,1,0,0,1573,1,1000,是,5417,7,551,7,1041,非常不满意,1048,6,6139,6,1053,1,32435,是,59788,6,541,6,1037,1,1000,7,6088,7,1032,完全没有变化，仍然相信,6089
269.0,谣言信息4展示,辟谣信息4c,18425,31-40岁,552,本科,550,0,1,1,0,1,0,1,0,1542,1,1000,是,5389,6,548,6,1044,非常不满意,1057,6,6168,6,1056,1,32434,是,59795,6,562,6,1057,1,1000,6,6181,6,1044,完全没有变化，仍然相信,6137
282.0,谣言信息4展示,辟谣信息4c,14831,41-50岁,550,高中/中专,555,1,1,1,1,0,0,1,0,1926,1,1000,是,5425,6,551,6,1042,非常不满意,1052,6,6158,6,1052,1,32404,是,59794,6,540,6,1039,1,1000,6,6102,6,1032,完全没有变化，仍然相信,6134
311.0,谣言信息4展示,辟谣信息4c,14553,31-40岁,553,高中/中专,553,1,1,0,0,1,1,0,0,1556,1,1000,是,5407,6,549,6,1038,非常不满意,1042,6,6139,6,1035,1,32440,是,59782,6,552,6,1068,1,1000,6,6116,6,1040,完全没有变化，仍然相信,6093
381.0,谣言信息4展示,辟谣信息4c,921,41-50岁,378,高中/中专,1234,1,0,0,0,0,0,0,0,308,1,1000,是,3262,5,682,6,1000,非常不满意,830,4,3309,5,389,1,14500,是,1878,5,277,4,1862,1,1000,5,2704,5,802,有些动摇，但仍倾向相信,1321
409.0,谣言信息4展示,辟谣信息4c,1426,31-40岁,452,本科,2691,0,0,1,1,0,0,0,0,1416,1,1000,是,591,7,5772,6,1055,非常不满意,667,7,2368,6,339,1,9255,是,1636,6,560,7,1553,1,1000,7,464,6,3671,有些动摇，但仍倾向相信,1624
508.0,谣言信息4展示,辟谣信息4c,19766,60岁以上,607,高中/中专,610,1,0,1,0,1,0,1,0,3786,1,1000,是,6219,7,639,4,1072,非常不满意,1077,5,5647,5,1082,1,18522,是,49864,4,604,3,1098,1,1000,5,6230,6,1117,完全改变观点，现在完全不相信,6198
557.0,谣言信息4展示,辟谣信息4c,19545,60岁以上,587,硕士及以上,583,1,0,1,1,0,1,1,0,4926,1,1000,是,6216,5,610,4,1090,非常不满意,1068,5,5655,6,1067,1,18512,是,49838,3,594,2,1072,1,1000,2,6166,3,1073,观点发生明显变化，现在不太相信,6195
563.0,谣言信息4展示,辟谣信息4c,18994,18-30岁,594,本科,607,0,1,1,1,0,1,0,0,3890,1,1000,是,6244,5,625,6,1078,非常不满意,1081,5,5681,4,1103,1,18617,是,49810,3,586,1,1088,1,1000,3,6213,3,1071,完全没有变化，仍然相信,6196
587.0,谣言信息4展示,辟谣信息4c,19191,51-60岁,623,高中/中专,585,1,1,1,0,0,1,0,0,3882,1,1000,是,6250,6,600,6,1094,非常不满意,1084,6,5669,6,1100,1,18555,是,49859,6,578,6,1077,1,1000,6,6191,6,1061,完全没有变化，仍然相信,6180
593.0,谣言信息4展示,辟谣信息4c,19762,60岁以上,586,高中/中专,584,0,1,1,1,1,1,0,0,4938,1,1000,是,6225,6,591,6,1111,非常不满意,1067,6,5647,6,1073,1,18542,是,49840,7,601,6,1092,1,1000,6,6205,6,1068,完全改变观点，现在完全不相信,6188
603.0,谣言信息4展示,辟谣信息4c,19257,18-30岁,614,高中/中专,604,0,1,0,0,1,1,0,0,2710,1,1000,是,6204,6,569,4,1070,非常不满意,1074,5,5663,4,1061,1,18560,是,49861,2,592,2,1086,1,1000,1,6199,2,1087,完全改变观点，现在完全不相信,6193
614.0,谣言信息4展示,辟谣信息4c,19692,18-30岁,582,本科,580,1,0,0,0,1,1,1,0,3816,1,1000,是,6189,7,580,6,1081,非常不满意,1078,6,5670,4,1074,1,18506,是,49832,3,613,5,1092,1,1000,6,6160,5,1137,有些动摇，但仍倾向相信,6153
641.0,谣言信息4展示,辟谣信息4c,19589,51-60岁,578,本科,583,1,0,1,0,1,0,1,0,3788,1,1000,是,6216,7,588,7,1095,非常不满意,1098,7,5682,7,1092,1,18722,是,49845,6,597,6,1071,1,1000,6,6208,6,1084,完全没有变化，仍然相信,6161
719.0,谣言信息4展示,辟谣信息4c,19833,31-40岁,596,硕士及以上,582,1,0,1,1,1,1,0,0,4865,1,1000,是,6202,2,579,4,1085,非常不满意,1075,3,5650,3,1085,1,18499,是,49820,3,581,4,1068,1,1000,6,6171,4,1068,,
726.0,谣言信息4展示,辟谣信息4c,19694,41-50岁,576,初中及以下,580,1,0,0,0,1,0,1,0,2685,1,1000,是,6216,2,578,4,1083,非常不满意,1069,2,5693,2,1094,1,18530,是,49826,6,583,4,1081,1,1000,4,6174,5,1073,,
734.0,谣言信息4展示,辟谣信息4c,19695,51-60岁,593,本科,575,0,1,1,0,1,0,1,0,3789,1,1000,是,6192,7,576,6,1087,非常不满意,1070,6,5651,7,1075,1,18512,是,49819,6,585,6,1066,1,1000,6,6183,6,1065,有些动摇，但仍倾向相信,6153
739.0,谣言信息4展示,辟谣信息4c,19660,51-60岁,611,初中及以下,587,1,0,1,0,1,1,1,0,4917,1,1000,是,6244,7,588,7,1092,非常不满意,1089,7,5681,6,1114,1,18508,是,49833,6,578,6,1070,1,1000,6,6161,6,1076,完全没有变化，仍然相信,6154
747.0,谣言信息4展示,辟谣信息4c,19622,18-30岁,574,本科,567,1,1,1,0,0,1,1,0,4882,1,1000,是,6185,2,592,2,1071,非常不满意,1084,2,5687,1,1085,1,18550,是,49813,4,582,2,1064,1,1000,4,6178,3,1088,,
775.0,谣言信息4展示,辟谣信息4c,19790,18-30岁,565,硕士及以上,586,0,1,0,1,1,1,1,0,4873,1,1000,是,6207,6,579,6,1057,非常不满意,1074,6,5637,6,1056,1,18501,是,49824,6,583,7,1071,1,1000,7,6185,6,1061,完全改变观点，现在完全不相信,6182
823.0,谣言信息4展示,辟谣信息4c,19707,31-40岁,616,硕士及以上,594,0,0,0,0,1,1,1,0,2737,1,1000,是,6216,7,591,4,1088,非常不满意,1108,6,5685,5,1085,1,18541,是,49843,4,597,1,1097,1,1000,3,6237,1,1101,完全改变观点，现在完全不相信,6186
827.0,谣言信息4展示,辟谣信息4c,19725,18-30岁,601,高中/中专,587,1,1,0,1,0,0,1,0,3793,1,1000,是,6215,2,596,2,1089,非常不满意,1100,4,5696,5,1088,1,18517,是,49829,2,576,3,1070,1,1000,3,6207,1,1101,,
