Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,请阅读以下健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).112,您是否曾见过包含以上内容的信息？.20,作答时长(毫秒).113,您认为这条信息的可信度如何？.4,作答时长(毫秒).114,如果您在社交媒体上看到此类信息，您会传播吗？.3,作答时长(毫秒).115,本题检测是否真人作答.4,作答时长(毫秒).116,您认为使用偏方应对烫伤会有用吗？,作答时长(毫秒).117,您认为这些土办法会对健康造成危害吗？,作答时长(毫秒).118,观看以下信息并回答问题.16,作答时长(毫秒).119,您是否曾见过包含以上内容的信息？.21,作答时长(毫秒).120,您认为这条健康信息的可信度如何？.16,作答时长(毫秒).121,您是否愿意分享该健康信息？.20,作答时长(毫秒).122,请回顾初始健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).135,您现在认为这条信息的可信度如何？.1,作答时长(毫秒).136,您是否愿意分享该健康信息？.24,作答时长(毫秒).137,观看信息前后，您的观点是否发生变化？.4,作答时长(毫秒).138
354.0,谣言信息5展示,辟谣5a,14075,41-50岁,549,高中/中专,538,1,0,0,1,0,1,1,0,1565,1,1000,是,5416,7,538,7,1031,非常不满意,1057,6,6142,7,1045,1,1000,是,21354,6,541,6,1046,1,1000,6,6092,6,1036,完全没有变化，仍然相信,6098
364.0,谣言信息5展示,辟谣5a,14310,18-30岁,551,本科,566,0,1,1,1,0,1,0,0,1572,1,1000,是,5423,6,544,6,1034,非常不满意,1060,6,6149,6,1049,1,1000,是,21129,6,536,6,1034,1,1000,6,6078,6,1053,完全没有变化，仍然相信,6080
383.0,谣言信息5展示,辟谣5a,2401,18-30岁,1011,本科,2112,1,1,0,0,0,0,0,0,1596,1,1000,否,4149,2,830,4,1165,非常不满意,513,5,9039,4,649,1,1000,否,2129,3,1400,5,1464,1,1000,6,2680,2,765,,
386.0,谣言信息5展示,辟谣5a,1201,31-40岁,806,硕士及以上,1535,0,0,0,1,0,0,0,0,1051,1,1000,是,4522,6,1596,5,765,非常不满意,3218,7,588,6,4483,1,1000,是,2165,5,1800,6,450,1,1000,7,2537,6,346,观点发生明显变化，现在不太相信,1387
400.0,谣言信息5展示,辟谣5a,1171,18-30岁,7178,高中/中专,966,0,1,0,0,0,0,0,0,385,1,1000,是,3019,5,2068,3,1104,非常不满意,20256,4,4563,5,562,1,1000,是,2416,2,499,4,1092,1,1000,3,384,3,2539,观点发生明显变化，现在不太相信,1242
411.0,谣言信息5展示,辟谣5a,13198,18-30岁,731,高中/中专,910,0,0,1,1,0,0,0,0,1115,1,1000,是,4866,5,4174,3,519,非常不满意,4392,3,3023,4,448,1,1000,是,1635,1,700,4,441,1,1000,3,1665,5,262,有些动摇，但仍倾向相信,1143
416.0,谣言信息5展示,辟谣5a,1395,18-30岁,516,本科,1318,0,1,0,0,0,0,0,0,2869,1,1000,是,5548,5,1228,2,2657,非常不满意,1957,7,4326,5,1213,1,1000,是,1837,5,1880,6,629,1,1000,6,2036,5,298,有些动摇，但仍倾向相信,1281
420.0,谣言信息5展示,辟谣5a,1839,31-40岁,279,高中/中专,1019,0,1,0,0,0,0,0,0,775,1,1000,是,6157,5,245,3,800,非常不满意,4173,7,9865,6,292,1,1000,是,5435,7,512,6,222,1,1000,7,2056,5,254,有些动摇，但仍倾向相信,1841
426.0,谣言信息5展示,辟谣5a,716,31-40岁,271,硕士及以上,1097,0,1,0,0,0,0,1,0,1953,1,1000,否,2021,6,334,6,1497,非常不满意,816,6,308,6,2204,1,1000,否,1758,5,210,5,624,1,1000,6,1655,5,658,观点发生明显变化，现在不太相信,1088
442.0,谣言信息5展示,辟谣5a,63040,31-40岁,464,本科,81466,0,0,1,0,0,0,0,0,683,1,1000,是,2931,7,366,6,302,非常不满意,577,6,10583,7,423,1,1000,是,2250,6,357,5,438,1,1000,7,2682,4,471,完全没有变化，仍然相信,3382
481.0,谣言信息5展示,辟谣5a,643,31-40岁,544,初中及以下,1878,0,1,0,1,0,0,0,0,1179,1,1000,是,6106,6,4184,4,352,非常不满意,2922,3,1675,3,329,1,1000,是,3397,6,518,5,1826,1,1000,6,2350,5,310,有些动摇，但仍倾向相信,6028
483.0,谣言信息5展示,辟谣5a,19214,51-60岁,620,硕士及以上,613,1,0,1,1,1,1,1,0,6213,1,1000,是,6264,4,601,2,1095,非常不满意,1121,4,5726,5,1119,1,1000,是,6269,5,594,3,1125,1,1000,3,6232,4,1113,,
495.0,谣言信息5展示,辟谣5a,15733,31-40岁,604,高中/中专,593,0,0,1,1,1,1,1,0,4968,1,1000,是,6264,5,581,5,1091,非常不满意,1063,3,5668,4,1106,1,1000,是,6173,3,589,3,1080,1,1000,1,6184,2,1097,完全没有变化，仍然相信,6170
496.0,谣言信息5展示,辟谣5a,20330,60岁以上,620,高中/中专,621,1,1,0,0,0,1,1,0,3861,1,1000,是,6257,6,619,5,1094,非常不满意,1099,3,5679,1,1069,1,1000,是,6216,4,614,1,1075,1,1000,4,6179,3,1065,有些动摇，但仍倾向相信,6222
507.0,谣言信息5展示,辟谣5a,19446,60岁以上,617,初中及以下,608,1,0,1,1,1,1,1,0,6088,1,1000,是,6240,4,610,2,1072,非常不满意,1084,4,5690,3,1090,1,1000,是,6174,3,581,4,1061,1,1000,4,6190,3,1081,,
523.0,谣言信息5展示,辟谣5a,46945,60岁以上,617,初中及以下,579,0,0,1,1,0,1,1,0,3870,1,1000,是,6205,3,607,2,1071,非常不满意,1083,6,5667,3,1107,1,1000,是,6233,4,585,4,1070,1,1000,3,6153,5,1093,,
541.0,谣言信息5展示,辟谣5a,14717,31-40岁,589,高中/中专,586,0,1,0,1,1,0,1,0,3870,1,1000,是,6192,6,614,6,1101,非常不满意,1080,6,5695,5,1087,1,1000,是,6220,4,588,3,1065,1,1000,3,6220,4,1075,有些动摇，但仍倾向相信,6175
545.0,谣言信息5展示,辟谣5a,14588,41-50岁,581,高中/中专,584,1,0,1,0,1,1,0,0,3806,1,1000,是,6211,5,589,4,1107,非常不满意,1094,6,5712,6,1084,1,1000,是,6212,6,583,4,1083,1,1000,4,6223,6,1079,完全改变观点，现在完全不相信,6181
548.0,谣言信息5展示,辟谣5a,18456,41-50岁,596,初中及以下,570,0,0,1,1,1,1,1,0,4921,1,1000,是,6200,6,566,5,1072,非常不满意,1088,3,5649,5,1058,1,1000,是,6191,3,573,6,1078,1,1000,4,6178,4,1070,有些动摇，但仍倾向相信,6193
551.0,谣言信息5展示,辟谣5a,9225,41-50岁,631,硕士及以上,634,1,1,1,0,1,0,1,0,4956,1,1000,是,6263,6,614,6,1100,非常不满意,1100,3,5700,4,1083,1,1000,是,6259,2,599,2,1066,1,1000,3,6194,3,1088,有些动摇，但仍倾向相信,6201
571.0,谣言信息5展示,辟谣5a,19589,31-40岁,585,硕士及以上,581,0,1,0,1,1,0,0,0,2789,1,1000,是,6273,3,586,4,1086,非常不满意,1086,6,5736,4,1079,1,1000,是,6212,5,573,5,1079,1,1000,4,6185,5,1077,,
572.0,谣言信息5展示,辟谣5a,19774,41-50岁,590,本科,601,1,0,0,0,1,1,1,0,3811,1,1000,是,6218,1,595,3,1097,非常不满意,1089,3,5660,7,1115,1,1000,是,6205,1,604,3,1084,1,1000,1,6174,4,1078,,
574.0,谣言信息5展示,辟谣5a,12230,51-60岁,597,硕士及以上,593,0,1,1,0,0,1,1,0,3841,1,1000,是,6238,3,629,2,1146,非常不满意,1085,3,5664,2,1105,1,1000,是,6197,4,600,3,1082,1,1000,2,6193,2,1098,,
591.0,谣言信息5展示,辟谣5a,19817,41-50岁,609,硕士及以上,610,0,1,1,0,0,1,0,0,2746,1,1000,是,6237,3,622,3,1080,非常不满意,1081,6,5723,6,1082,1,1000,是,6218,3,578,2,1079,1,1000,4,6178,6,1102,,
599.0,谣言信息5展示,辟谣5a,19770,60岁以上,608,本科,582,1,0,0,1,1,1,0,0,3880,1,1000,是,6234,6,589,6,1084,非常不满意,1098,7,5677,7,1063,1,1000,是,6168,6,566,6,1077,1,1000,7,6160,7,1087,完全没有变化，仍然相信,6184
622.0,谣言信息5展示,辟谣5a,19885,18-30岁,572,高中/中专,594,0,1,1,1,0,0,1,0,3776,1,1000,是,6197,6,595,3,1071,非常不满意,1067,6,5702,4,1065,1,1000,是,6143,7,597,1,1076,1,1000,3,6167,2,1080,完全改变观点，现在完全不相信,6136
642.0,谣言信息5展示,辟谣5a,19586,41-50岁,597,本科,585,1,1,0,0,1,1,1,0,4843,1,1000,是,6201,2,587,2,1081,非常不满意,1081,2,5672,3,1106,1,1000,是,6228,4,597,4,1078,1,1000,2,6173,4,1132,,
648.0,谣言信息5展示,辟谣5a,19317,31-40岁,591,硕士及以上,587,0,1,0,1,0,1,1,0,3916,1,1000,是,6264,4,683,5,1184,非常不满意,1235,1,5737,6,1095,1,1000,是,6204,7,577,4,1071,1,1000,4,6150,4,1077,,
669.0,谣言信息5展示,辟谣5a,19878,41-50岁,593,初中及以下,579,0,1,1,1,1,1,1,0,5921,1,1000,是,6196,7,574,7,1069,非常不满意,1088,7,5697,7,1078,1,1000,是,6190,7,568,6,1073,1,1000,7,6155,7,1086,完全没有变化，仍然相信,6184
692.0,谣言信息5展示,辟谣5a,19227,60岁以上,575,初中及以下,581,1,1,1,0,1,0,1,0,4899,1,1000,是,6208,6,577,6,1071,非常不满意,1074,6,5648,6,1099,1,1000,是,6171,6,563,6,1089,1,1000,6,6135,6,1069,完全改变观点，现在完全不相信,6158
698.0,谣言信息5展示,辟谣5a,19958,18-30岁,578,硕士及以上,575,0,0,1,1,0,1,1,0,3838,1,1000,是,6208,7,595,7,1089,非常不满意,1093,6,5653,4,1066,1,1000,是,6193,4,601,2,1087,1,1000,1,6180,2,1079,有些动摇，但仍倾向相信,6131
729.0,谣言信息5展示,辟谣5a,19461,60岁以上,581,初中及以下,570,1,1,1,1,0,0,0,0,3872,1,1000,是,6208,7,607,6,1084,非常不满意,1065,1,5665,1,1072,1,1000,是,6156,3,576,2,1094,1,1000,4,6174,4,1089,有些动摇，但仍倾向相信,6138
741.0,谣言信息5展示,辟谣5a,19548,31-40岁,586,本科,571,1,0,1,0,1,0,1,0,3784,1,1000,是,6197,7,584,7,1061,非常不满意,1069,7,5747,6,1089,1,1000,是,6142,7,559,7,1072,1,1000,6,6130,7,1097,完全改变观点，现在完全不相信,6129
749.0,谣言信息5展示,辟谣5a,19906,60岁以上,598,本科,593,1,0,0,0,1,1,1,0,3804,1,1000,是,6193,6,576,4,1080,非常不满意,1087,5,5668,4,1076,1,1000,是,6181,3,576,4,1057,1,1000,2,6165,4,1075,有些动摇，但仍倾向相信,6152
765.0,谣言信息5展示,辟谣5a,19192,18-30岁,572,硕士及以上,592,1,0,1,0,1,1,1,0,4875,1,1000,是,6198,7,584,7,1073,非常不满意,1083,6,5658,6,1067,1,1000,是,6211,6,562,6,1065,1,1000,6,6148,6,1075,观点发生明显变化，现在不太相信,6192
797.0,谣言信息5展示,辟谣5a,19412,51-60岁,577,高中/中专,573,0,1,1,0,0,1,1,0,3810,1,1000,是,6193,6,584,6,1073,非常不满意,1077,6,5669,6,1092,1,1000,是,6176,6,583,6,1074,1,1000,6,6167,6,1074,完全没有变化，仍然相信,6147
800.0,谣言信息5展示,辟谣5a,19589,41-50岁,744,本科,564,0,0,1,1,1,1,0,0,3896,1,1000,是,6230,1,571,3,1090,非常不满意,1089,2,5664,4,1089,1,1000,是,6225,4,584,5,1108,1,1000,5,6179,3,1084,,
