Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡对身体有害，有致癌风险。,作答时长(毫秒).31,您是否曾见过包含以上内容的信息？.5,作答时长(毫秒).32,您认为这条信息的可信度如何？.1,作答时长(毫秒).33,如果您在社交媒体上看到此类信息，您会传播吗？,作答时长(毫秒).34,本题检测是否真人作答.1,作答时长(毫秒).35,您是否担心喝咖啡对自身健康可能产生的负面影响？,作答时长(毫秒).36,您认为喝咖啡可能对健康造成多大的危害？,作答时长(毫秒).37,观看以下信息并回答问题.4,作答时长(毫秒).38,您是否曾见过包含以上内容的信息？.6,作答时长(毫秒).39,您认为这条健康信息的可信度如何？.4,作答时长(毫秒).40,您是否愿意分享该健康信息？.5,作答时长(毫秒).41,请回顾初始健康信息并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡会致癌。,作答时长(毫秒).54,您现在认为这条信息的可信度如何？,作答时长(毫秒).55,您是否愿意分享该健康信息？.9,作答时长(毫秒).56,观看信息前后，您的观点是否发生变化？.1,作答时长(毫秒).57
265.0,谣言信息2 展示,辟谣信息2a,14246,41-50岁,557,硕士及以上,552,0,1,1,1,0,0,1,0,1570,1,1000,是,5415,7,551,7,1037,非常不满意,1059,7,6162,7,1040,1,1000,是,21102,6,538,7,1042,1,1000,6,6091,7,1037,完全没有变化，仍然相信,6101
280.0,谣言信息2 展示,辟谣信息2a,15130,51-60岁,558,硕士及以上,558,1,1,1,0,0,1,1,0,1925,1,1000,是,5436,7,540,6,1049,非常不满意,1052,7,6147,6,1041,1,1000,是,21093,7,537,7,1041,1,1000,6,6077,6,1043,完全没有变化，仍然相信,6101
284.0,谣言信息2 展示,辟谣信息2a,1705,31-40岁,472,高中/中专,2291,0,0,1,0,1,0,0,0,3550,1,1000,是,3456,5,1173,3,348,非常不满意,362,6,12617,3,302,1,1000,是,10309,6,961,3,439,1,1000,5,7118,4,2732,有些动摇，但仍倾向相信,2624
299.0,谣言信息2 展示,辟谣信息2a,14824,18-30岁,549,初中及以下,553,0,1,1,1,1,0,0,0,1594,1,1000,是,5415,6,551,6,1051,非常不满意,1056,6,6194,6,1050,1,1000,是,21103,6,537,6,1043,1,1000,6,6082,6,1042,完全没有变化，仍然相信,6085
307.0,谣言信息2 展示,辟谣信息2a,14234,31-40岁,547,硕士及以上,544,1,0,1,1,1,0,1,0,1906,1,1000,是,5446,6,550,6,1052,非常不满意,1059,6,6119,6,1035,1,1000,是,21097,7,541,7,1044,1,1000,6,6070,6,1038,完全没有变化，仍然相信,6095
321.0,谣言信息2 展示,辟谣信息2a,14704,41-50岁,559,本科,547,0,0,1,0,1,1,1,0,1551,1,1000,是,5423,7,557,6,1050,非常不满意,1048,7,6133,7,1087,1,1000,是,21098,6,542,6,1040,1,1000,6,6073,6,1040,完全没有变化，仍然相信,6097
338.0,谣言信息2 展示,辟谣信息2a,14503,51-60岁,571,初中及以下,554,0,0,1,1,0,1,1,0,1589,1,1000,是,5429,6,560,7,1043,非常不满意,1065,6,6184,7,1044,1,1000,是,21123,6,540,6,1043,1,1000,6,6106,7,1044,完全没有变化，仍然相信,6090
352.0,谣言信息2 展示,辟谣信息2a,13766,41-50岁,551,初中及以下,550,1,1,0,0,0,1,1,0,1551,1,1000,是,5441,7,589,6,1038,非常不满意,1070,6,6158,6,1036,1,1000,是,21087,6,542,6,1037,1,1000,6,6070,6,1034,完全没有变化，仍然相信,6090
359.0,谣言信息2 展示,辟谣信息2a,14604,41-50岁,546,高中/中专,548,1,1,0,1,1,0,1,0,1915,1,1000,是,5413,7,548,7,1040,非常不满意,1046,7,6127,7,1034,1,1000,是,21092,6,543,6,1043,1,1000,6,6083,6,1035,完全没有变化，仍然相信,6088
371.0,谣言信息2 展示,辟谣信息2a,14862,51-60岁,541,硕士及以上,540,0,1,0,1,1,0,1,0,1570,1,1000,是,5415,6,544,6,1045,非常不满意,1065,6,6132,6,1044,1,1000,是,21096,6,543,6,1040,1,1000,6,6110,6,1040,完全没有变化，仍然相信,6109
382.0,谣言信息2 展示,辟谣信息2a,843,41-50岁,402,本科,1277,0,1,0,0,0,0,0,0,956,1,1000,是,4240,7,3139,6,458,非常不满意,3271,7,2982,6,423,1,1000,是,2370,7,962,5,305,1,1000,6,1895,6,455,有些动摇，但仍倾向相信,1344
390.0,谣言信息2 展示,辟谣信息2a,844,31-40岁,2100,本科,1553,0,0,0,0,1,0,0,0,3014,1,1000,是,2796,5,6328,3,371,非常不满意,2809,4,1979,4,248,1,1000,是,1368,5,958,4,354,1,1000,3,1498,5,317,观点发生明显变化，现在不太相信,1299
403.0,谣言信息2 展示,辟谣信息2a,1047,31-40岁,406,高中/中专,1312,1,0,0,0,0,0,0,0,3971,1,1000,是,9420,4,2621,5,2983,非常不满意,1902,5,8689,5,421,1,1000,是,3678,5,4885,4,815,1,1000,5,2100,4,309,,
429.0,谣言信息2 展示,辟谣信息2a,1554,31-40岁,1120,本科,1440,0,1,1,0,0,0,0,0,4880,1,1000,是,12141,6,534,7,856,非常不满意,2453,6,19729,7,423,1,1000,是,2774,6,1067,7,355,1,1000,5,2859,6,433,有些动摇，但仍倾向相信,2365
444.0,谣言信息2 展示,辟谣信息2a,10739,31-40岁,1072,本科,1856,1,0,0,0,0,1,0,0,6442,1,1000,是,5422,5,456,3,2755,非常不满意,2701,4,13252,5,4290,1,1000,是,2802,5,3869,4,4571,1,1000,5,278,4,7405,观点发生明显变化，现在不太相信,7659
447.0,谣言信息2 展示,辟谣信息2a,2736,31-40岁,1962,高中/中专,1809,0,0,1,0,0,1,1,0,3056,1,1000,是,10673,5,16808,3,4787,非常不满意,7091,5,7426,5,644,1,1000,是,4149,4,718,4,636,1,1000,5,2266,5,1151,有些动摇，但仍倾向相信,2004
479.0,谣言信息2 展示,辟谣信息2a,7408,31-40岁,794,高中/中专,1093,0,1,1,0,0,0,0,0,1033,1,1000,是,4712,5,966,3,13717,非常不满意,5203,6,18416,3,397,1,1000,是,4448,4,1470,6,357,1,1000,5,3091,3,725,有些动摇，但仍倾向相信,3246
488.0,谣言信息2 展示,辟谣信息2a,19167,60岁以上,589,本科,582,1,0,1,0,0,1,1,0,3826,1,1000,是,6231,5,605,5,1108,非常不满意,1105,5,5664,4,1095,1,1000,是,6217,6,627,4,1092,1,1000,3,6153,6,1089,观点发生明显变化，现在不太相信,6180
498.0,谣言信息2 展示,辟谣信息2a,19198,51-60岁,638,本科,615,1,1,0,0,0,1,0,0,2745,1,1000,是,6234,2,598,4,1104,非常不满意,1093,4,5701,2,1116,1,1000,是,6226,1,589,2,1114,1,1000,4,6151,4,1075,,
502.0,谣言信息2 展示,辟谣信息2a,13250,31-40岁,585,初中及以下,598,1,1,1,1,0,0,0,0,3864,1,1000,是,6213,5,609,4,1091,非常不满意,1080,5,5752,3,1085,1,1000,是,6228,3,580,5,1088,1,1000,5,6202,5,1072,完全改变观点，现在完全不相信,6178
524.0,谣言信息2 展示,辟谣信息2a,11652,51-60岁,625,硕士及以上,604,0,1,1,1,1,0,1,0,4939,1,1000,是,6222,5,588,3,1093,非常不满意,1111,2,5672,4,1082,1,1000,是,6220,6,591,4,1075,1,1000,7,6201,4,1097,完全改变观点，现在完全不相信,6187
555.0,谣言信息2 展示,辟谣信息2a,17572,60岁以上,585,初中及以下,582,1,1,1,1,0,1,0,0,4891,1,1000,是,6239,3,619,4,1093,非常不满意,1096,3,5690,3,1094,1,1000,是,6190,4,578,4,1098,1,1000,3,6165,5,1086,,
564.0,谣言信息2 展示,辟谣信息2a,15468,51-60岁,628,本科,606,0,0,1,1,1,1,1,0,4984,1,1000,是,6265,1,588,1,1109,非常不满意,1110,3,5677,1,1093,1,1000,是,6212,3,617,3,1081,1,1000,4,6176,2,1103,,
573.0,谣言信息2 展示,辟谣信息2a,17018,51-60岁,583,高中/中专,581,1,1,1,0,0,0,0,0,2769,1,1000,是,6189,2,622,2,1081,非常不满意,1100,2,5724,4,1068,1,1000,是,6190,4,614,2,1074,1,1000,3,6196,3,1091,,
577.0,谣言信息2 展示,辟谣信息2a,19102,60岁以上,595,高中/中专,580,1,0,1,1,1,1,0,0,4954,1,1000,是,6248,3,600,2,1093,非常不满意,1078,6,5732,4,1090,1,1000,是,6226,5,601,5,1071,1,1000,5,6178,2,1084,,
605.0,谣言信息2 展示,辟谣信息2a,19749,18-30岁,587,初中及以下,590,1,1,0,0,1,0,1,0,3812,1,1000,是,6202,5,580,3,1073,非常不满意,1079,4,5642,4,1070,1,1000,是,6239,6,585,3,1075,1,1000,3,6180,5,1071,完全没有变化，仍然相信,6161
631.0,谣言信息2 展示,辟谣信息2a,19739,18-30岁,591,本科,581,1,0,1,0,1,1,0,0,3834,1,1000,是,6187,1,593,3,1086,非常不满意,1088,2,5665,3,1079,1,1000,是,6159,2,575,3,1099,1,1000,2,6163,3,1074,,
649.0,谣言信息2 展示,辟谣信息2a,19820,51-60岁,578,初中及以下,576,0,1,0,1,1,1,1,0,4893,1,1000,是,6203,6,564,6,1127,非常不满意,1074,6,5645,7,1067,1,1000,是,6153,7,604,6,1086,1,1000,7,6142,7,1110,有些动摇，但仍倾向相信,6303
650.0,谣言信息2 展示,辟谣信息2a,19688,41-50岁,597,本科,604,1,1,0,0,1,0,1,0,3888,1,1000,是,6243,7,589,7,1085,非常不满意,1111,7,5680,6,1068,1,1000,是,6165,7,560,6,1098,1,1000,7,6135,7,1071,观点发生明显变化，现在不太相信,6225
674.0,谣言信息2 展示,辟谣信息2a,19766,18-30岁,601,初中及以下,605,1,1,0,1,0,1,0,0,3777,1,1000,是,6185,7,641,5,1097,非常不满意,1079,4,5692,2,1087,1,1000,是,6199,1,574,3,1115,1,1000,1,6180,3,1073,完全改变观点，现在完全不相信,6149
677.0,谣言信息2 展示,辟谣信息2a,19579,60岁以上,599,本科,583,0,1,0,1,0,1,1,0,3781,1,1000,是,6195,4,628,5,1089,非常不满意,1083,4,5697,4,1084,1,1000,是,6190,3,580,3,1107,1,1000,2,6181,4,1075,,
681.0,谣言信息2 展示,辟谣信息2a,19766,51-60岁,569,高中/中专,583,1,1,1,1,0,1,0,0,4914,1,1000,是,6191,6,577,6,1062,非常不满意,1058,6,5676,6,1074,1,1000,是,6193,6,571,6,1067,1,1000,6,6244,6,1112,完全没有变化，仍然相信,6225
686.0,谣言信息2 展示,辟谣信息2a,19509,41-50岁,595,高中/中专,604,0,1,0,0,1,1,1,0,3812,1,1000,是,6204,1,575,2,1132,非常不满意,1101,2,5656,1,1066,1,1000,是,6140,1,592,2,1080,1,1000,4,6155,5,1073,,
717.0,谣言信息2 展示,辟谣信息2a,19581,18-30岁,580,高中/中专,583,0,1,1,1,1,0,1,0,4850,1,1000,是,6164,6,571,6,1075,非常不满意,1092,6,5645,6,1096,1,1000,是,6172,6,568,6,1062,1,1000,3,6162,4,1084,有些动摇，但仍倾向相信,6145
723.0,谣言信息2 展示,辟谣信息2a,19808,31-40岁,581,本科,592,1,1,1,1,0,0,0,0,3813,1,1000,是,6182,6,586,6,1086,非常不满意,1073,6,5643,6,1087,1,1000,是,6163,6,561,6,1068,1,1000,6,6147,6,1080,观点发生明显变化，现在不太相信,6138
727.0,谣言信息2 展示,辟谣信息2a,19305,51-60岁,581,硕士及以上,570,0,0,1,0,1,0,1,0,2735,1,1000,是,6185,1,604,3,1078,非常不满意,1069,3,5680,6,1079,1,1000,是,6169,6,581,4,1070,1,1000,6,6146,4,1086,,
757.0,谣言信息2 展示,辟谣信息2a,19781,60岁以上,595,初中及以下,584,0,1,1,1,1,0,0,0,3760,1,1000,是,6191,2,581,4,1078,非常不满意,1075,2,5642,3,1066,1,1000,是,6164,4,570,3,1072,1,1000,2,6162,3,1087,,
762.0,谣言信息2 展示,辟谣信息2a,17322,51-60岁,572,高中/中专,585,1,1,1,1,0,1,0,0,4885,1,1000,是,6191,6,602,5,1075,非常不满意,1062,5,5638,4,1063,1,1000,是,6212,5,572,5,1067,1,1000,4,6141,1,1067,观点发生明显变化，现在不太相信,6189
780.0,谣言信息2 展示,辟谣信息2a,19990,18-30岁,577,硕士及以上,570,1,1,0,1,1,0,0,0,3762,1,1000,是,6200,3,593,2,1078,非常不满意,1070,3,5646,3,1071,1,1000,是,6158,5,567,3,1072,1,1000,2,6153,4,1072,,
782.0,谣言信息2 展示,辟谣信息2a,19738,41-50岁,576,本科,576,0,1,1,1,0,1,0,0,3863,1,1000,是,6185,7,576,6,1073,非常不满意,1073,6,5643,6,1076,1,1000,是,6151,7,560,6,1065,1,1000,6,6142,6,1060,完全改变观点，现在完全不相信,6132
802.0,谣言信息2 展示,辟谣信息2a,19733,31-40岁,579,硕士及以上,578,1,1,0,0,1,1,0,0,3868,1,1000,是,6190,2,577,2,1075,非常不满意,1075,1,5643,2,1078,1,1000,是,6183,2,582,1,1088,1,1000,5,6152,5,1062,,
804.0,谣言信息2 展示,辟谣信息2a,19583,18-30岁,589,本科,593,1,0,1,1,0,1,1,0,4890,1,1000,是,6192,7,579,6,1094,非常不满意,1076,7,5695,7,1079,1,1000,是,6175,6,575,6,1064,1,1000,6,6157,7,1066,完全改变观点，现在完全不相信,6159
812.0,谣言信息2 展示,辟谣信息2a,19508,41-50岁,585,高中/中专,581,1,1,0,1,0,1,0,0,3824,1,1000,是,6197,5,574,4,1089,非常不满意,1081,6,5674,7,1093,1,1000,是,6192,4,575,3,1077,1,1000,2,6169,4,1092,完全没有变化，仍然相信,6157
834.0,谣言信息2 展示,辟谣信息2a,19778,18-30岁,591,初中及以下,605,0,1,0,1,0,0,1,0,2762,1,1000,是,6267,6,620,2,1081,非常不满意,1100,7,5684,6,1083,1,1000,是,6194,5,590,6,1079,1,1000,4,6183,4,1092,有些动摇，但仍倾向相信,6198
841.0,谣言信息2 展示,辟谣信息2a,19379,60岁以上,614,硕士及以上,604,1,1,0,0,0,1,1,0,3909,1,1000,是,6283,5,629,4,1092,非常不满意,1107,5,5749,5,1121,1,1000,是,6227,5,603,3,1117,1,1000,4,6229,6,1122,完全改变观点，现在完全不相信,6224
845.0,谣言信息2 展示,辟谣信息2a,1122,18-30岁,1891,硕士及以上,2004,1,1,0,0,0,0,0,0,1905,1,1000,是,4080,2,3507,1,1689,非常不满意,1127,5,3894,4,3180,1,1000,是,12846,6,4140,5,1520,1,1000,1,3948,1,663,,
846.0,谣言信息2 展示,辟谣信息2a,1771,18-30岁,964,硕士及以上,1533,1,1,1,0,0,0,0,0,9517,1,1000,是,9107,4,8325,2,2038,非常不满意,3668,1,7406,2,3847,1,1000,否,10021,4,3524,2,1468,1,1000,4,7005,2,1731,,
