Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,请阅读以下健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).112,您是否曾见过包含以上内容的信息？.20,作答时长(毫秒).113,您认为这条信息的可信度如何？.4,作答时长(毫秒).114,如果您在社交媒体上看到此类信息，您会传播吗？.3,作答时长(毫秒).115,本题检测是否真人作答.4,作答时长(毫秒).116,您认为使用偏方应对烫伤会有用吗？,作答时长(毫秒).117,您认为这些土办法会对健康造成危害吗？,作答时长(毫秒).118,观看以下信息并回答问题.18,作答时长(毫秒).127,您是否曾见过包含以上内容的信息？.23,作答时长(毫秒).128,您认为这条健康信息的可信度如何？.18,作答时长(毫秒).129,您是否愿意分享该健康信息？.22,作答时长(毫秒).130,请回顾初始健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).135,您现在认为这条信息的可信度如何？.1,作答时长(毫秒).136,您是否愿意分享该健康信息？.24,作答时长(毫秒).137,观看信息前后，您的观点是否发生变化？.4,作答时长(毫秒).138
259.0,谣言信息5展示,辟谣信息5d,14655,31-40岁,554,硕士及以上,556,0,0,0,0,0,1,1,0,886,1,1000,是,5430,7,551,6,1045,非常不满意,1054,7,6140,7,1037,1,43280,是,48903,7,538,7,1032,1,1000,6,6114,6,1039,完全没有变化，仍然相信,6078
287.0,谣言信息5展示,辟谣信息5d,14756,60岁以上,549,初中及以下,591,1,1,1,1,0,0,1,0,1983,1,1000,是,5419,6,540,6,1048,非常不满意,1059,6,6168,6,1064,1,43298,是,48916,6,537,7,1051,1,1000,7,6107,6,1048,完全没有变化，仍然相信,6086
298.0,谣言信息5展示,辟谣信息5d,14645,60岁以上,548,本科,545,0,1,0,1,1,1,0,0,1571,1,1000,是,5477,7,581,7,1053,非常不满意,1065,7,6152,7,1048,1,43327,是,48909,6,549,6,1045,1,1000,6,6102,6,1048,完全没有变化，仍然相信,6094
324.0,谣言信息5展示,辟谣信息5d,14588,31-40岁,551,初中及以下,536,0,1,1,1,0,1,1,0,1922,1,1000,是,5425,6,550,6,1041,非常不满意,1064,6,6173,6,1049,1,43312,是,48895,7,546,6,1041,1,1000,7,6123,7,1034,完全没有变化，仍然相信,6090
343.0,谣言信息5展示,辟谣信息5d,14915,60岁以上,540,硕士及以上,538,0,1,1,0,1,1,0,0,1575,1,1000,是,5398,6,549,6,1039,非常不满意,1052,7,6168,7,1045,1,43309,是,48908,7,552,6,1039,1,1000,6,6079,6,1036,完全没有变化，仍然相信,6093
380.0,谣言信息5展示,辟谣信息5d,1426,31-40岁,621,本科,2207,0,1,0,0,0,0,0,0,1324,1,1000,是,3710,6,1102,5,748,非常不满意,452,5,44335,6,359,1,8302,是,2144,5,506,6,2091,1,1000,6,3447,6,342,有些动摇，但仍倾向相信,1612
412.0,谣言信息5展示,辟谣信息5d,1307,18-30岁,977,本科,5472,1,0,0,0,0,0,0,0,2045,1,1000,是,5147,6,1274,4,708,非常不满意,1551,6,5413,3,650,1,44468,是,2170,5,1380,3,571,1,1000,6,6848,3,682,完全没有变化，仍然相信,2186
415.0,谣言信息5展示,辟谣信息5d,274,18-30岁,822,本科,547,0,0,0,1,1,0,0,0,20559,1,1000,否,2433,7,823,6,237,非常不满意,564,7,13016,6,300,1,18902,否,1476,6,2566,6,301,1,1000,6,3019,6,267,观点发生明显变化，现在不太相信,978
421.0,谣言信息5展示,辟谣信息5d,1275,31-40岁,1036,本科,1022,1,1,0,0,0,0,0,0,4691,1,1000,是,8799,2,1924,1,2713,非常不满意,1350,3,5687,5,4110,1,25925,否,8964,5,4068,4,515,1,1000,3,4878,3,448,,
431.0,谣言信息5展示,辟谣信息5d,1028,31-40岁,369,初中及以下,1134,0,0,1,1,0,0,0,0,1394,1,1000,是,3693,6,1167,5,808,非常不满意,896,5,3431,6,772,1,21265,是,1730,5,468,6,1031,1,1000,6,6320,5,683,有些动摇，但仍倾向相信,2643
473.0,谣言信息5展示,辟谣信息5d,995,31-40岁,199,硕士及以上,559,0,0,1,0,0,0,1,1,1213,1,1000,否,1941,7,232,6,1358,非常不满意,593,6,1932,6,471,1,5478,是,833,7,1145,6,181,1,1000,7,1877,5,176,完全改变观点，现在完全不相信,926
492.0,谣言信息5展示,辟谣信息5d,19783,18-30岁,606,硕士及以上,618,0,1,1,1,0,1,0,0,3899,1,1000,是,6268,1,582,4,1113,非常不满意,1076,2,5706,3,1067,1,29456,是,38933,4,606,4,1077,1,1000,3,6234,4,1076,,
516.0,谣言信息5展示,辟谣信息5d,19840,31-40岁,604,高中/中专,600,1,0,1,1,1,0,1,0,4989,1,1000,是,6255,3,629,3,1119,非常不满意,1105,2,5729,2,1114,1,29745,是,38951,6,574,5,1073,1,1000,1,6212,3,1077,,
592.0,谣言信息5展示,辟谣信息5d,19434,51-60岁,594,本科,604,1,1,0,1,1,0,1,0,4915,1,1000,是,6276,1,631,1,1108,非常不满意,1086,2,5691,1,1102,1,29499,是,38919,3,599,5,1114,1,1000,3,6187,4,1066,,
597.0,谣言信息5展示,辟谣信息5d,19597,51-60岁,591,高中/中专,609,1,1,1,1,0,0,0,0,3804,1,1000,是,6197,2,597,2,1081,非常不满意,1082,3,5704,4,1074,1,29811,是,38940,4,587,3,1079,1,1000,4,6174,3,1095,,
618.0,谣言信息5展示,辟谣信息5d,19841,31-40岁,564,初中及以下,583,1,0,0,1,1,1,0,0,3815,1,1000,是,6208,6,579,6,1066,非常不满意,1077,7,5641,7,1066,1,29402,是,38956,7,575,6,1080,1,1000,7,6179,6,1080,有些动摇，但仍倾向相信,6146
635.0,谣言信息5展示,辟谣信息5d,19703,51-60岁,580,高中/中专,575,1,1,1,0,1,0,1,0,4858,1,1000,是,6179,6,568,6,1064,非常不满意,1075,3,5643,1,1105,1,29431,是,38939,4,582,1,1083,1,1000,1,6174,2,1064,有些动摇，但仍倾向相信,6155
646.0,谣言信息5展示,辟谣信息5d,19541,31-40岁,579,硕士及以上,573,1,0,1,0,0,0,1,0,2732,1,1000,是,6206,6,587,6,1075,非常不满意,1063,6,5666,6,1066,1,29408,是,39195,6,735,6,1073,1,1000,7,6403,7,1080,完全没有变化，仍然相信,6174
708.0,谣言信息5展示,辟谣信息5d,19875,18-30岁,572,高中/中专,603,1,0,0,1,1,1,1,0,4899,1,1000,是,6197,6,573,6,1079,非常不满意,1068,6,5641,6,1071,1,29435,是,38933,6,570,6,1063,1,1000,6,6151,6,1068,观点发生明显变化，现在不太相信,6156
745.0,谣言信息5展示,辟谣信息5d,19714,60岁以上,591,初中及以下,572,1,1,0,1,0,1,0,0,3799,1,1000,是,6190,6,571,6,1074,非常不满意,1069,6,5687,6,1083,1,29452,是,38953,7,574,7,1080,1,1000,6,6182,6,1059,完全改变观点，现在完全不相信,6207
751.0,谣言信息5展示,辟谣信息5d,19259,60岁以上,582,硕士及以上,583,1,0,0,1,1,1,1,0,4877,1,1000,是,6197,6,578,6,1071,非常不满意,1074,6,5638,6,1076,1,29432,是,38920,6,578,7,1087,1,1000,7,6171,7,1098,完全没有变化，仍然相信,6177
755.0,谣言信息5展示,辟谣信息5d,19643,60岁以上,580,硕士及以上,576,1,1,1,0,0,1,1,0,4935,1,1000,是,6169,6,570,6,1077,非常不满意,1076,6,5619,6,1067,1,29375,是,38951,6,570,6,1075,1,1000,6,6173,6,1077,有些动摇，但仍倾向相信,6141
806.0,谣言信息5展示,辟谣信息5d,19839,51-60岁,590,初中及以下,601,1,0,1,1,1,1,0,0,4966,1,1000,是,6218,5,606,3,1079,非常不满意,1082,3,5679,5,1083,1,29429,是,38965,3,584,4,1082,1,1000,3,6174,6,1078,观点发生明显变化，现在不太相信,6146
