Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题,作答时长(毫秒).11,您是否曾见过包含以上内容的信息？.1,作答时长(毫秒).12,您认为这条健康信息的可信度如何？,作答时长(毫秒).13,您是否愿意分享该健康信息？,作答时长(毫秒).14,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
606.0,谣言信息1 展示,辟谣信息1c,19830,31-40岁,687,本科,587,1,0,1,1,0,1,1,0,4879,1,1000,是,6269,2,578,4,1082,非常不满意,1083,2,5651,1,1117,1,52967,是,15421,4,565,2,1094,1,1000,3,6286,2,1132,,
638.0,谣言信息1 展示,辟谣信息1c,19589,31-40岁,594,硕士及以上,619,0,0,0,1,1,1,1,0,3934,1,1000,是,6294,7,631,7,1322,非常不满意,1147,7,5696,7,1094,1,52896,是,15558,7,621,7,1099,1,1000,6,6181,6,1085,完全改变观点，现在完全不相信,6185
640.0,谣言信息1 展示,辟谣信息1c,19732,60岁以上,581,高中/中专,605,1,1,1,0,0,1,0,0,3850,1,1000,是,6224,4,600,3,1073,非常不满意,1089,6,5639,6,1077,1,52965,是,15415,4,572,4,1084,1,1000,1,6152,2,1096,,
653.0,谣言信息1 展示,辟谣信息1c,19788,51-60岁,592,高中/中专,578,0,1,0,1,1,0,0,0,2795,1,1000,是,6228,6,579,6,1076,非常不满意,1059,6,5660,6,1075,1,53009,是,15411,6,561,6,1052,1,1000,6,6151,6,1060,完全没有变化，仍然相信,6157
654.0,谣言信息1 展示,辟谣信息1c,19611,31-40岁,580,初中及以下,580,0,1,0,0,1,0,1,0,2738,1,1000,是,6177,3,592,2,1072,非常不满意,1072,1,5650,3,1075,1,52938,是,15409,5,585,5,1065,1,1000,2,6215,2,1084,,
661.0,谣言信息1 展示,辟谣信息1c,19629,41-50岁,591,本科,592,0,1,0,0,1,1,1,0,3816,1,1000,是,6179,1,595,7,1075,非常不满意,1065,7,5664,6,1080,1,52913,是,15414,5,589,3,1095,1,1000,4,6148,3,1066,,
666.0,谣言信息1 展示,辟谣信息1c,19343,51-60岁,596,初中及以下,565,0,1,1,1,1,0,0,0,3882,1,1000,是,6175,7,596,6,1073,非常不满意,1080,6,5656,6,1072,1,52926,是,15421,6,574,6,1066,1,1000,6,6154,6,1066,完全没有变化，仍然相信,6169
668.0,谣言信息1 展示,辟谣信息1c,19761,60岁以上,590,初中及以下,584,1,1,0,1,1,0,1,0,4964,1,1000,是,6236,2,578,4,1146,非常不满意,1072,4,5646,2,1071,1,52920,是,15408,7,575,3,1065,1,1000,3,6193,3,1068,,
671.0,谣言信息1 展示,辟谣信息1c,19793,60岁以上,609,硕士及以上,645,0,1,1,1,1,0,1,0,4976,1,1000,是,6333,1,609,1,1069,非常不满意,1079,2,5649,3,1068,1,52943,是,15429,3,591,2,1075,1,1000,3,6174,3,1060,,
696.0,谣言信息1 展示,辟谣信息1c,19707,51-60岁,611,初中及以下,589,0,1,1,1,1,0,0,0,3773,1,1000,是,6185,7,590,5,1080,非常不满意,1067,4,5681,4,1085,1,52955,是,15429,4,584,2,1066,1,1000,4,6184,4,1064,观点发生明显变化，现在不太相信,6167
713.0,谣言信息1 展示,辟谣信息1c,19765,60岁以上,592,本科,562,1,1,0,1,1,0,1,0,4867,1,1000,是,6208,6,587,4,1100,非常不满意,1076,5,5637,6,1068,1,52897,是,15418,4,587,4,1067,1,1000,5,6157,4,1091,完全没有变化，仍然相信,6172
722.0,谣言信息1 展示,辟谣信息1c,19864,31-40岁,588,初中及以下,578,0,0,0,1,1,1,1,0,3820,1,1000,是,6193,6,606,6,1063,非常不满意,1079,6,5661,6,1078,1,52933,是,15399,6,569,6,1066,1,1000,6,6163,6,1056,有些动摇，但仍倾向相信,6148
748.0,谣言信息1 展示,辟谣信息1c,19614,41-50岁,580,初中及以下,591,1,1,0,0,1,1,1,0,4910,1,1000,是,6215,3,585,2,1078,非常不满意,1073,4,5689,3,1073,1,53129,是,15402,4,587,2,1059,1,1000,1,6178,3,1073,,
753.0,谣言信息1 展示,辟谣信息1c,19644,51-60岁,585,本科,586,1,1,0,0,1,1,1,0,4823,1,1000,是,6190,2,581,3,1081,非常不满意,1071,2,5644,1,1073,1,52932,是,15415,3,570,4,1068,1,1000,6,6187,3,1070,,
790.0,谣言信息1 展示,辟谣信息1c,19806,31-40岁,589,初中及以下,590,0,1,1,1,1,1,0,0,4886,1,1000,是,6201,2,585,4,1091,非常不满意,1088,4,5655,4,1094,1,52968,是,15424,6,583,2,1076,1,1000,4,6145,4,1065,,
792.0,谣言信息1 展示,辟谣信息1c,19931,60岁以上,578,高中/中专,572,1,1,1,1,1,0,1,0,5999,1,1000,是,6195,6,575,6,1094,非常不满意,1065,6,5774,6,1095,1,52903,是,15414,6,571,6,1075,1,1000,6,6193,7,1069,完全没有变化，仍然相信,6139
816.0,谣言信息1 展示,辟谣信息1c,19861,60岁以上,592,硕士及以上,596,0,1,0,1,0,0,1,0,2759,1,1000,是,6200,1,588,4,1094,非常不满意,1089,1,5648,3,1093,1,52973,是,15455,3,600,4,1076,1,1000,6,6248,4,1089,,
821.0,谣言信息1 展示,辟谣信息1c,19638,18-30岁,564,高中/中专,591,1,1,0,1,1,1,0,0,4907,1,1000,是,6201,7,620,6,1107,非常不满意,1091,6,5692,6,1081,1,52960,是,15421,6,574,6,1071,1,1000,6,6233,6,1077,观点发生明显变化，现在不太相信,6228
