Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡对身体有害，有致癌风险。,作答时长(毫秒).31,您是否曾见过包含以上内容的信息？.5,作答时长(毫秒).32,您认为这条信息的可信度如何？.1,作答时长(毫秒).33,如果您在社交媒体上看到此类信息，您会传播吗？,作答时长(毫秒).34,本题检测是否真人作答.1,作答时长(毫秒).35,您是否担心喝咖啡对自身健康可能产生的负面影响？,作答时长(毫秒).36,您认为喝咖啡可能对健康造成多大的危害？,作答时长(毫秒).37,观看以下信息并回答问题.6,作答时长(毫秒).46,您是否曾见过包含以上内容的信息？.8,作答时长(毫秒).47,您认为这条健康信息的可信度如何？.6,作答时长(毫秒).48,您是否愿意分享该健康信息？.7,作答时长(毫秒).49,请回顾初始健康信息并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡会致癌。,作答时长(毫秒).54,您现在认为这条信息的可信度如何？,作答时长(毫秒).55,您是否愿意分享该健康信息？.9,作答时长(毫秒).56,观看信息前后，您的观点是否发生变化？.1,作答时长(毫秒).57
248.0,谣言信息2 展示,辟谣信息2c,14662,18-30岁,541,本科,541,0,0,1,0,1,1,0,0,1236,1,1000,是,5411,7,556,7,1048,非常不满意,1060,7,6146,6,1038,1,52331,是,39874,6,544,7,1035,1,1000,6,6084,6,1041,完全没有变化，仍然相信,6091
267.0,谣言信息2 展示,辟谣信息2c,14293,18-30岁,548,初中及以下,551,0,1,1,1,1,1,0,0,1897,1,1000,是,5410,6,536,6,1041,非常不满意,1055,6,6152,6,1044,1,52338,是,39865,6,537,6,1041,1,1000,7,6103,6,1047,完全没有变化，仍然相信,6080
276.0,谣言信息2 展示,辟谣信息2c,14789,18-30岁,537,初中及以下,549,0,0,1,0,1,1,1,0,1573,1,1000,是,5393,6,541,6,1043,非常不满意,1061,6,6145,6,1044,1,52345,是,39870,6,534,6,1043,1,1000,6,6112,6,1057,完全没有变化，仍然相信,6102
301.0,谣言信息2 展示,辟谣信息2c,14721,18-30岁,540,初中及以下,543,1,1,0,0,1,0,0,0,1232,1,1000,是,5417,7,552,6,1046,非常不满意,1056,6,6136,7,1049,1,52353,是,39875,6,553,6,1046,1,1000,6,6097,6,1043,完全没有变化，仍然相信,6097
302.0,谣言信息2 展示,辟谣信息2c,14673,60岁以上,561,初中及以下,538,0,0,1,1,0,1,0,0,1229,1,1000,是,5401,7,558,7,1035,非常不满意,1053,7,6144,7,1044,1,52332,是,39884,7,537,7,1038,1,1000,6,6105,6,1045,完全没有变化，仍然相信,6105
303.0,谣言信息2 展示,辟谣信息2c,14761,18-30岁,569,硕士及以上,560,1,1,0,0,0,0,1,0,1249,1,1000,是,5411,6,547,6,1037,非常不满意,1063,6,6143,6,1047,1,52362,是,39862,7,571,7,1058,1,1000,6,6132,7,1031,完全没有变化，仍然相信,6082
313.0,谣言信息2 展示,辟谣信息2c,14710,60岁以上,539,高中/中专,540,1,0,1,1,1,0,0,0,1577,1,1000,是,5418,6,555,6,1043,非常不满意,1063,7,6138,7,1050,1,52325,是,39862,6,542,6,1052,1,1000,6,6110,6,1037,完全没有变化，仍然相信,6095
332.0,谣言信息2 展示,辟谣信息2c,23807,18-30岁,551,本科,554,1,1,1,0,0,0,1,0,1561,1,1000,是,5453,7,551,6,1051,非常不满意,1063,7,6157,7,1034,1,52392,是,39859,6,561,6,1047,1,1000,6,6109,6,1040,完全没有变化，仍然相信,6115
405.0,谣言信息2 展示,辟谣信息2c,277,18-30岁,2717,高中/中专,1490,0,0,0,1,0,0,0,0,187,1,1000,是,1925,6,1456,4,227,非常不满意,968,2,2555,4,337,1,2052,是,161,6,11538,4,882,1,1000,5,1688,3,188,有些动摇，但仍倾向相信,1090
422.0,谣言信息2 展示,辟谣信息2c,1451,41-50岁,2021,初中及以下,1788,1,1,0,0,0,0,0,0,1132,1,1000,是,3577,5,1612,5,1709,非常不满意,385,5,2682,5,612,1,12751,是,2804,5,732,5,1060,1,1000,5,2635,5,1661,完全没有变化，仍然相信,2649
462.0,谣言信息2 展示,辟谣信息2c,580,18-30岁,13386,本科,5218,1,1,1,0,0,0,0,0,2742,1,1000,是,5138,6,1188,3,5704,非常不满意,1656,6,8608,4,1313,1,12904,否,3495,5,2090,4,1284,1,1000,6,2865,5,931,有些动摇，但仍倾向相信,2530
471.0,谣言信息2 展示,辟谣信息2c,1243,18-30岁,654,高中/中专,1105,0,1,0,1,0,0,0,0,1204,1,1000,是,2420,5,2295,7,1390,非常不满意,1635,3,424,5,5772,1,37125,是,2269,5,390,6,686,1,1000,6,3473,5,400,观点发生明显变化，现在不太相信,1649
487.0,谣言信息2 展示,辟谣信息2c,18547,41-50岁,615,高中/中专,618,1,0,1,0,1,1,0,0,3840,1,1000,是,6256,3,593,3,1089,非常不满意,1091,3,5687,4,1101,1,38546,是,29908,4,577,4,1110,1,1000,4,6223,5,1081,,
499.0,谣言信息2 展示,辟谣信息2c,18994,31-40岁,587,初中及以下,610,0,0,0,1,1,1,1,0,3909,1,1000,是,6276,2,614,2,1089,非常不满意,1078,4,5688,2,1082,1,38450,是,29908,2,598,4,1084,1,1000,4,6191,2,1094,,
568.0,谣言信息2 展示,辟谣信息2c,19613,18-30岁,595,本科,588,1,0,1,1,0,0,1,0,3868,1,1000,是,6210,2,579,3,1098,非常不满意,1094,3,5748,3,1090,1,39260,是,29907,5,577,4,1075,1,1000,6,6187,4,1122,,
601.0,谣言信息2 展示,辟谣信息2c,19874,18-30岁,616,硕士及以上,644,0,0,0,1,1,1,0,0,2837,1,1000,是,6231,3,586,3,1084,非常不满意,1077,4,5683,5,1089,1,38528,是,29916,3,600,1,1129,1,1000,2,6218,3,1076,,
610.0,谣言信息2 展示,辟谣信息2c,19741,60岁以上,590,硕士及以上,574,0,1,0,1,0,1,1,0,3797,1,1000,是,6200,1,591,1,1076,非常不满意,1069,2,5645,6,1102,1,38435,是,29907,2,579,2,1088,1,1000,3,6212,4,1077,,
612.0,谣言信息2 展示,辟谣信息2c,19804,51-60岁,584,初中及以下,584,1,1,1,0,1,1,0,0,4909,1,1000,是,6200,4,584,3,1073,非常不满意,1087,1,5657,2,1067,1,38439,是,29918,1,588,1,1109,1,1000,4,6160,2,1076,,
628.0,谣言信息2 展示,辟谣信息2c,19690,18-30岁,586,初中及以下,575,1,1,0,0,1,1,0,0,3843,1,1000,是,6248,7,588,7,1071,非常不满意,1117,7,5660,6,1077,1,38420,是,29919,6,561,6,1081,1,1000,6,6149,6,1051,完全改变观点，现在完全不相信,6152
647.0,谣言信息2 展示,辟谣信息2c,19632,18-30岁,574,高中/中专,587,1,0,1,1,1,1,1,0,5931,1,1000,是,6203,1,577,1,1089,非常不满意,1058,1,5644,3,1096,1,38484,是,29879,6,569,3,1083,1,1000,1,6158,2,1097,,
760.0,谣言信息2 展示,辟谣信息2c,19629,60岁以上,583,本科,574,1,1,0,0,1,1,1,0,4852,1,1000,是,6202,6,581,6,1076,非常不满意,1076,6,5664,6,1071,1,38456,是,29882,6,585,6,1080,1,1000,6,6185,6,1056,完全改变观点，现在完全不相信,6162
778.0,谣言信息2 展示,辟谣信息2c,19732,60岁以上,591,本科,573,0,1,1,0,1,0,0,0,2704,1,1000,是,6202,4,583,5,1084,非常不满意,1078,5,5641,3,1082,1,38431,是,29895,5,569,4,1068,1,1000,3,6169,2,1177,,
824.0,谣言信息2 展示,辟谣信息2c,19902,41-50岁,592,高中/中专,590,0,1,1,0,1,1,1,0,4910,1,1000,是,6197,6,596,6,1069,非常不满意,1109,7,5679,7,1095,1,38467,是,29903,6,583,6,1094,1,1000,6,6220,6,1085,完全没有变化，仍然相信,6223
826.0,谣言信息2 展示,辟谣信息2c,19780,60岁以上,585,高中/中专,616,1,0,1,1,0,1,0,0,3861,1,1000,是,6214,4,610,2,1086,非常不满意,1105,5,5708,5,1096,1,38490,是,29896,1,592,4,1115,1,1000,1,6223,2,1100,,
828.0,谣言信息2 展示,辟谣信息2c,19706,41-50岁,576,初中及以下,592,1,1,0,0,0,1,0,0,2758,1,1000,是,6208,4,575,4,1083,非常不满意,1072,6,5673,5,1118,1,38476,是,29928,2,578,4,1072,1,1000,3,6171,3,1071,,
