Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题.2,作答时长(毫秒).19,您是否曾见过包含以上内容的信息？.3,作答时长(毫秒).20,您认为这条健康信息的可信度如何？.2,作答时长(毫秒).21,您是否愿意分享该健康信息？.2,作答时长(毫秒).22,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
270.0,谣言信息1 展示,辟谣信息1a,14791,60岁以上,546,本科,544,0,1,0,1,1,1,0,0,1527,1,1000,是,5409,7,551,6,1042,非常不满意,1049,7,6149,6,1045,1,1000,是,21086,6,539,6,1033,1,1000,6,6088,6,1049,完全没有变化，仍然相信,6091
310.0,谣言信息1 展示,辟谣信息1a,14714,51-60岁,542,初中及以下,543,0,0,0,1,1,1,1,0,1563,1,1000,是,5420,7,559,6,1046,非常不满意,1052,6,6136,6,1049,1,1000,是,21098,6,553,6,1036,1,1000,6,6099,6,1045,完全没有变化，仍然相信,6104
346.0,谣言信息1 展示,辟谣信息1a,13245,41-50岁,555,高中/中专,552,1,1,1,1,0,0,1,0,1887,1,1000,是,5418,6,549,6,1058,非常不满意,1066,6,6125,7,1037,1,1000,是,21092,7,541,7,1039,1,1000,6,6098,6,1045,完全没有变化，仍然相信,6092
357.0,谣言信息1 展示,辟谣信息1a,14303,41-50岁,544,硕士及以上,544,1,0,1,1,1,1,1,0,2234,1,1000,是,5399,6,549,6,1046,非常不满意,1069,6,6147,6,1042,1,1000,是,21083,6,536,6,1037,1,1000,6,6095,6,1041,完全没有变化，仍然相信,6079
413.0,谣言信息1 展示,辟谣信息1a,1436,31-40岁,828,初中及以下,1154,0,1,0,0,0,0,0,0,4380,1,1000,是,4162,7,2455,6,537,非常不满意,563,5,27580,3,1467,1,1000,否,4936,6,1047,4,629,1,1000,7,2659,4,253,观点发生明显变化，现在不太相信,1439
414.0,谣言信息1 展示,辟谣信息1a,1534,31-40岁,2534,高中/中专,2296,1,1,0,0,0,0,0,0,5008,1,1000,是,8370,3,1593,2,2201,非常不满意,1654,5,1276,6,9970,1,1000,是,3935,4,3113,3,1531,1,1000,5,6628,3,2352,,
432.0,谣言信息1 展示,辟谣信息1a,1289,41-50岁,360,高中/中专,1096,0,0,1,0,0,0,0,0,213,1,1000,是,2960,2,641,3,1165,非常不满意,1047,2,4032,3,905,1,1000,否,1478,6,397,5,424,1,1000,3,2011,5,652,,
472.0,谣言信息1 展示,辟谣信息1a,1289,18-30岁,338,高中/中专,1019,0,0,1,0,0,0,0,0,884,1,1000,是,2733,5,539,5,1196,非常不满意,414,5,3002,5,316,1,1000,是,1134,4,1351,4,400,1,1000,4,2035,4,317,观点发生明显变化，现在不太相信,1024
484.0,谣言信息1 展示,辟谣信息1a,14926,18-30岁,575,本科,576,1,0,0,0,1,1,1,0,3818,1,1000,是,6219,4,585,3,1086,非常不满意,1073,5,5735,3,1091,1,1000,是,6182,3,581,2,1110,1,1000,3,6170,4,1066,,
506.0,谣言信息1 展示,辟谣信息1a,19733,41-50岁,598,本科,618,0,0,0,1,0,1,1,0,2867,1,1000,是,6167,4,585,3,1095,非常不满意,1089,4,5650,5,1082,1,1000,是,6177,3,588,3,1084,1,1000,4,6228,4,1075,,
517.0,谣言信息1 展示,辟谣信息1a,17284,18-30岁,614,本科,619,1,1,1,0,1,0,0,0,3820,1,1000,是,6200,5,606,5,1083,非常不满意,1085,4,5709,5,1077,1,1000,是,6232,5,586,6,1110,1,1000,5,6169,5,1081,完全改变观点，现在完全不相信,6179
525.0,谣言信息1 展示,辟谣信息1a,19768,31-40岁,594,初中及以下,618,0,1,1,0,0,1,1,0,3948,1,1000,是,6229,3,597,3,1086,非常不满意,1075,4,5674,6,1078,1,1000,是,6223,7,584,5,1101,1,1000,6,6167,6,1093,,
552.0,谣言信息1 展示,辟谣信息1a,18740,60岁以上,619,高中/中专,584,1,1,1,0,0,1,0,0,3881,1,1000,是,6226,3,597,2,1083,非常不满意,1079,3,5675,3,1094,1,1000,是,6190,4,604,4,1105,1,1000,4,6197,3,1099,,
553.0,谣言信息1 展示,辟谣信息1a,19629,51-60岁,611,高中/中专,596,0,0,1,1,0,1,1,0,3890,1,1000,是,6296,4,619,4,1097,非常不满意,1102,4,5707,2,1078,1,1000,是,6181,3,606,5,1094,1,1000,5,6163,3,1080,,
579.0,谣言信息1 展示,辟谣信息1a,2754,18-30岁,6165,硕士及以上,1277,0,1,0,0,0,0,0,0,1495,1,1000,否,5158,1,3459,1,361,非常不满意,3112,5,7663,5,891,1,1000,否,2478,7,1475,7,1407,1,1000,1,4975,1,421,,
670.0,谣言信息1 展示,辟谣信息1a,18394,60岁以上,589,本科,585,1,1,1,0,1,0,1,0,4969,1,1000,是,6259,7,594,7,1105,非常不满意,1079,7,5635,7,1069,1,1000,是,6172,7,564,6,1081,1,1000,7,6140,7,1071,观点发生明显变化，现在不太相信,6149
758.0,谣言信息1 展示,辟谣信息1a,19721,31-40岁,577,本科,566,0,1,1,0,1,1,1,0,4857,1,1000,是,6202,7,583,6,1079,非常不满意,1066,6,5648,6,1067,1,1000,是,6136,6,574,6,1068,1,1000,6,6150,6,1063,有些动摇，但仍倾向相信,6163
783.0,谣言信息1 展示,辟谣信息1a,19734,60岁以上,611,硕士及以上,572,1,1,0,1,1,0,1,0,4924,1,1000,是,6177,6,566,5,1092,非常不满意,1066,3,5650,5,1060,1,1000,是,6149,3,574,1,1068,1,1000,3,6132,4,1068,完全没有变化，仍然相信,6127
819.0,谣言信息1 展示,辟谣信息1a,19838,31-40岁,599,本科,600,0,1,1,1,0,1,0,0,3895,1,1000,是,6235,6,620,6,1100,非常不满意,1081,7,5707,7,1084,1,1000,是,6234,7,598,6,1066,1,1000,7,6161,7,1077,观点发生明显变化，现在不太相信,6166
832.0,谣言信息1 展示,辟谣信息1a,19806,60岁以上,575,高中/中专,584,0,0,1,1,1,0,0,0,2751,1,1000,是,6231,7,586,6,1083,非常不满意,1094,7,5699,6,1076,1,1000,是,6184,6,572,7,1099,1,1000,6,6193,6,1078,有些动摇，但仍倾向相信,6148
833.0,谣言信息1 展示,辟谣信息1a,19754,31-40岁,576,高中/中专,581,1,1,0,0,1,0,1,0,3787,1,1000,是,6191,7,594,7,1082,非常不满意,1097,6,5645,6,1086,1,1000,是,6196,7,570,7,1067,1,1000,7,6195,6,1097,观点发生明显变化，现在不太相信,6175
837.0,谣言信息1 展示,辟谣信息1a,19881,60岁以上,600,硕士及以上,598,1,0,1,0,1,0,0,0,2751,1,1000,是,11212,1,606,1,1115,非常不满意,1095,2,10679,1,1118,1,1000,是,11263,1,579,1,1078,1,1000,2,11206,1,1073,,
