Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请观看并回答问题,作答时长(毫秒).85,您是否曾见过包含以上内容的信息？.15,作答时长(毫秒).86,您认为这条信息的可信度如何？.3,作答时长(毫秒).87,如果您在社交媒体上看到此类信息，您会传播吗？.2,作答时长(毫秒).88,本题检测是否真人作答.3,作答时长(毫秒).89,您认为长期食用猪油可以给自己或身边人的健康带来正面影响吗？,作答时长(毫秒).90,您认为长期食用猪油可以给自己或身边人的健康带来多大好处？,作答时长(毫秒).91,观看以下信息并回答问题.13,作答时长(毫秒).96,您是否曾见过包含以上内容的信息？.17,作答时长(毫秒).97,您认为这条健康信息的可信度如何？.13,作答时长(毫秒).98,您是否愿意分享该健康信息？.16,作答时长(毫秒).99,请回顾初始健康信息并回答问题,作答时长(毫秒).108,您现在认为该健康信息的可信度如何？.2,作答时长(毫秒).109,您是否愿意分享该健康信息？.19,作答时长(毫秒).110,观看信息前后，您的观点是否发生变化？.3,作答时长(毫秒).111
535.0,谣言信息4展示,辟谣信息4b,13652,41-50岁,636,高中/中专,594,1,0,1,1,1,1,0,0,4860,1,1000,是,6223,7,611,7,1075,非常不满意,1083,6,5681,6,1094,1,1000,是,6189,6,575,4,1088,1,1000,5,6197,4,1099,观点发生明显变化，现在不太相信,6206
537.0,谣言信息4展示,辟谣信息4b,19628,31-40岁,581,初中及以下,574,1,0,1,0,0,1,0,0,2755,1,1000,是,6224,1,593,4,1090,非常不满意,1084,4,5673,4,1109,1,1000,是,6208,6,588,4,1061,1,1000,6,6181,4,1095,,
540.0,谣言信息4展示,辟谣信息4b,18756,41-50岁,570,硕士及以上,574,1,1,1,0,1,0,0,0,3780,1,1000,是,6224,2,610,1,1078,非常不满意,1082,3,5676,3,1089,1,1000,是,6166,1,584,3,1091,1,1000,1,6196,1,1066,,
544.0,谣言信息4展示,辟谣信息4b,19648,51-60岁,591,本科,572,0,1,1,0,1,1,1,0,4917,1,1000,是,6221,6,617,5,1118,非常不满意,1105,4,5699,4,1114,1,1000,是,6193,3,579,5,1064,1,1000,5,6172,6,1085,完全改变观点，现在完全不相信,6170
546.0,谣言信息4展示,辟谣信息4b,19626,60岁以上,585,初中及以下,593,1,0,1,1,0,1,1,0,4923,1,1000,是,6189,5,588,5,1081,非常不满意,1089,5,5687,4,1096,1,1000,是,6203,4,587,6,1094,1,1000,6,6188,5,1077,完全没有变化，仍然相信,6175
559.0,谣言信息4展示,辟谣信息4b,14983,60岁以上,604,初中及以下,625,0,0,1,1,1,0,0,0,2804,1,1000,是,6203,2,629,3,1094,非常不满意,1071,1,5665,2,1131,1,1000,是,6205,4,575,2,1089,1,1000,3,6182,2,1084,,
565.0,谣言信息4展示,辟谣信息4b,8236,31-40岁,600,硕士及以上,583,0,0,0,1,1,1,1,0,3934,1,1000,是,6258,2,586,4,1084,非常不满意,1094,3,5682,2,1093,1,1000,是,6209,2,591,2,1095,1,1000,2,6185,4,1088,,
575.0,谣言信息4展示,辟谣信息4b,19981,41-50岁,572,硕士及以上,582,1,0,1,0,1,0,0,0,2791,1,1000,是,6207,6,594,4,1078,非常不满意,1104,6,5661,3,1080,1,1000,是,6173,5,593,2,1100,1,1000,3,6151,3,1108,观点发生明显变化，现在不太相信,6184
609.0,谣言信息4展示,辟谣信息4b,19754,31-40岁,571,初中及以下,580,0,0,0,1,1,1,1,0,3777,1,1000,是,6174,5,585,5,1066,非常不满意,1071,5,5653,6,1083,1,1000,是,6206,5,615,4,1092,1,1000,2,6270,2,1080,有些动摇，但仍倾向相信,6153
656.0,谣言信息4展示,辟谣信息4b,19823,60岁以上,581,硕士及以上,564,0,1,1,0,0,1,1,0,3777,1,1000,是,6191,6,573,6,1067,非常不满意,1077,7,5669,6,1076,1,1000,是,6144,6,556,7,1094,1,1000,6,6136,6,1099,完全没有变化，仍然相信,6160
672.0,谣言信息4展示,辟谣信息4b,19836,51-60岁,592,本科,629,1,1,0,1,1,0,0,0,3789,1,1000,是,6206,7,576,7,1103,非常不满意,1093,7,5662,7,1077,1,1000,是,6163,7,561,6,1081,1,1000,7,6163,6,1081,观点发生明显变化，现在不太相信,6135
675.0,谣言信息4展示,辟谣信息4b,19343,41-50岁,619,高中/中专,599,1,1,0,1,0,0,1,0,3877,1,1000,是,6193,1,601,1,1083,非常不满意,1070,1,5656,1,1081,1,1000,是,6166,1,562,1,1066,1,1000,3,6146,3,1071,,
676.0,谣言信息4展示,辟谣信息4b,19849,18-30岁,602,初中及以下,576,1,1,0,1,0,1,0,0,3789,1,1000,是,6164,5,576,3,1068,非常不满意,1064,4,5659,5,1069,1,1000,是,6206,4,595,4,1094,1,1000,2,6152,2,1078,完全没有变化，仍然相信,6135
680.0,谣言信息4展示,辟谣信息4b,19773,60岁以上,614,本科,682,0,1,0,1,0,1,1,0,3910,1,1000,是,6274,1,579,2,1076,非常不满意,1107,2,5654,2,1082,1,1000,是,6172,3,592,4,1072,1,1000,4,6155,3,1074,,
703.0,谣言信息4展示,辟谣信息4b,19843,51-60岁,603,硕士及以上,620,1,1,0,1,0,0,0,0,2733,1,1000,是,6174,6,682,6,1069,非常不满意,1077,6,5709,6,1099,1,1000,是,6205,6,577,6,1068,1,1000,6,6155,6,1058,观点发生明显变化，现在不太相信,6155
705.0,谣言信息4展示,辟谣信息4b,19618,31-40岁,582,本科,578,0,1,1,1,1,1,0,0,4882,1,1000,是,6201,2,585,4,1066,非常不满意,1066,1,5667,4,1076,1,1000,是,6192,3,587,1,1082,1,1000,1,6161,3,1073,,
707.0,谣言信息4展示,辟谣信息4b,19805,18-30岁,601,高中/中专,591,1,0,0,1,1,0,1,0,3837,1,1000,是,6219,6,591,3,1086,非常不满意,1074,5,5723,4,1090,1,1000,是,6193,5,567,4,1072,1,1000,7,6173,7,1074,有些动摇，但仍倾向相信,6173
738.0,谣言信息4展示,辟谣信息4b,19482,51-60岁,565,本科,563,1,0,1,0,1,1,1,0,4832,1,1000,是,6173,1,573,2,1077,非常不满意,1082,4,5663,6,1076,1,1000,是,6152,3,593,5,1066,1,1000,4,6147,4,1073,,
759.0,谣言信息4展示,辟谣信息4b,19662,31-40岁,586,高中/中专,586,1,1,0,1,1,1,0,0,4855,1,1000,是,6192,7,572,6,1069,非常不满意,1076,2,5645,2,1080,1,1000,是,6165,1,569,4,1077,1,1000,2,6141,5,1083,有些动摇，但仍倾向相信,6138
777.0,谣言信息4展示,辟谣信息4b,19838,41-50岁,579,硕士及以上,584,0,1,0,0,1,1,0,0,2735,1,1000,是,6203,6,565,6,1079,非常不满意,1066,6,5627,7,1068,1,1000,是,6176,7,577,7,1078,1,1000,6,6146,7,1063,完全没有变化，仍然相信,6152
789.0,谣言信息4展示,辟谣信息4b,19260,31-40岁,582,硕士及以上,581,1,0,0,1,0,1,1,0,3805,1,1000,是,6212,6,572,3,1071,非常不满意,1071,5,5667,3,1071,1,1000,是,6159,4,562,3,1064,1,1000,4,6236,5,1086,完全改变观点，现在完全不相信,6141
810.0,谣言信息4展示,辟谣信息4b,19126,51-60岁,614,初中及以下,598,1,1,0,0,1,0,1,0,3859,1,1000,是,6212,7,592,6,1089,非常不满意,1083,5,5685,5,1075,1,1000,是,6182,4,604,2,1102,1,1000,2,6213,4,1099,完全改变观点，现在完全不相信,6213
817.0,谣言信息4展示,辟谣信息4b,17003,41-50岁,616,硕士及以上,606,1,0,0,1,1,1,1,0,4918,1,1000,是,6248,7,596,7,1075,非常不满意,1090,7,5648,7,1074,1,1000,是,6170,7,574,7,1056,1,1000,6,6137,7,1084,有些动摇，但仍倾向相信,6206
838.0,谣言信息4展示,辟谣信息4b,7292,31-40岁,574,高中/中专,1064,1,0,0,1,0,0,1,0,3551,1,1000,是,2561,3,2081,6,576,非常不满意,1232,5,3023,7,608,1,1000,是,2784,1,1384,1,784,1,1000,1,2736,2,464,,
