Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题.1,作答时长(毫秒).15,您是否曾见过包含以上内容的信息？.2,作答时长(毫秒).16,您认为这条健康信息的可信度如何？.1,作答时长(毫秒).17,您是否愿意分享该健康信息？.1,作答时长(毫秒).18,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
283.0,谣言信息1 展示,辟谣信息1d,14557,41-50岁,550,本科,562,0,1,1,0,1,1,0,0,1594,1,1000,是,5424,6,558,6,1052,非常不满意,1053,6,6152,6,1051,1,62496,是,29705,6,541,7,1050,1,1000,6,6098,6,1033,完全没有变化，仍然相信,6110
296.0,谣言信息1 展示,辟谣信息1d,14730,51-60岁,539,本科,548,1,0,1,0,0,1,1,0,1583,1,1000,是,5424,6,551,6,1034,非常不满意,1060,7,6149,7,1047,1,62520,是,29705,6,540,7,1047,1,1000,7,6105,7,1040,完全没有变化，仍然相信,6098
300.0,谣言信息1 展示,辟谣信息1d,6988,31-40岁,1957,本科,1780,1,0,1,0,0,1,0,0,6246,1,1000,是,5535,5,375,3,2553,非常不满意,4878,4,7623,5,1836,1,8817,是,2398,5,4437,5,540,1,1000,4,6346,3,297,观点发生明显变化，现在不太相信,10658
312.0,谣言信息1 展示,辟谣信息1d,13947,18-30岁,550,高中/中专,546,0,1,1,1,0,1,0,0,1570,1,1000,是,5416,7,552,6,1036,非常不满意,1059,6,6122,7,1037,1,62477,是,29699,6,558,6,1086,1,1000,7,6124,7,1052,完全没有变化，仍然相信,6089
320.0,谣言信息1 展示,辟谣信息1d,1030,31-40岁,146,高中/中专,243,0,0,1,0,0,0,0,0,683,1,1000,是,1779,6,1383,5,197,非常不满意,318,2,2362,5,481,1,5045,是,1245,6,130,4,242,1,1000,3,9132,6,156,有些动摇，但仍倾向相信,815
322.0,谣言信息1 展示,辟谣信息1d,14871,31-40岁,546,本科,540,0,0,1,1,0,1,1,0,1548,1,1000,是,5415,6,559,6,1054,非常不满意,1086,6,6217,6,1040,1,62492,是,29722,7,551,6,1046,1,1000,7,6107,6,1035,完全没有变化，仍然相信,6112
329.0,谣言信息1 展示,辟谣信息1d,14075,41-50岁,564,高中/中专,556,1,0,1,1,1,1,0,0,1936,1,1000,是,5415,6,556,6,1035,非常不满意,1051,6,6138,7,1040,1,62502,是,29701,7,551,7,1051,1,1000,7,6106,6,1044,完全没有变化，仍然相信,6101
333.0,谣言信息1 展示,辟谣信息1d,14621,60岁以上,552,初中及以下,544,1,1,1,0,1,1,0,0,2002,1,1000,是,5462,7,559,7,1049,非常不满意,1065,7,6144,6,1040,1,62520,是,29707,6,558,7,1049,1,1000,7,6121,6,1049,完全没有变化，仍然相信,6091
342.0,谣言信息1 展示,辟谣信息1d,14480,60岁以上,552,初中及以下,533,1,0,0,1,0,1,1,0,1563,1,1000,是,5392,7,547,6,1048,非常不满意,1053,6,6145,6,1044,1,62511,是,29692,7,540,6,1037,1,1000,6,6087,6,1030,完全没有变化，仍然相信,6091
360.0,谣言信息1 展示,辟谣信息1d,14226,51-60岁,575,硕士及以上,538,1,0,0,1,1,1,1,0,1926,1,1000,是,5411,6,559,6,1038,非常不满意,1056,6,6146,6,1050,1,62529,是,29691,6,545,7,1041,1,1000,6,6092,6,1042,完全没有变化，仍然相信,6094
437.0,谣言信息1 展示,辟谣信息1d,1005,41-50岁,1376,高中/中专,1026,0,1,0,0,0,0,0,0,530,1,1000,是,3834,5,1786,3,1998,非常不满意,1514,5,1499,6,569,1,10560,是,1219,6,1450,5,531,1,1000,5,2098,6,417,有些动摇，但仍倾向相信,1375
440.0,谣言信息1 展示,辟谣信息1d,1478,31-40岁,517,高中/中专,916,0,1,0,0,1,0,0,0,1536,1,1000,是,20289,5,842,5,336,非常不满意,724,6,1269,4,508,1,18354,是,5330,4,927,3,384,1,1000,5,4438,4,734,有些动摇，但仍倾向相信,1474
460.0,谣言信息1 展示,辟谣信息1d,3745,31-40岁,789,高中/中专,1403,1,0,0,0,0,0,0,0,1579,1,1000,否,2990,6,1309,6,1066,非常不满意,786,6,2364,6,407,1,17156,否,7748,6,1244,6,285,1,1000,6,6689,6,408,完全没有变化，仍然相信,2696
465.0,谣言信息1 展示,辟谣信息1d,970,18-30岁,1109,高中/中专,693,0,0,1,0,0,0,1,0,1444,1,1000,是,2753,3,576,5,599,非常不满意,476,2,2622,4,657,1,4426,是,5290,5,526,4,648,1,1000,3,2253,5,332,,
468.0,谣言信息1 展示,辟谣信息1d,1518,31-40岁,354,本科,1392,0,0,1,0,0,0,0,0,376,1,1000,否,4561,2,556,2,471,非常不满意,2255,2,443,2,2944,1,59029,是,414,3,1352,2,3218,1,1000,3,9733,3,438,,
489.0,谣言信息1 展示,辟谣信息1d,20246,41-50岁,606,硕士及以上,589,0,1,1,0,1,1,1,0,4948,1,1000,是,6224,5,588,6,1099,非常不满意,1087,6,5673,6,1097,1,49636,是,19770,3,584,2,1092,1,1000,6,6225,5,1103,完全没有变化，仍然相信,6185
490.0,谣言信息1 展示,辟谣信息1d,18703,31-40岁,596,初中及以下,596,1,0,0,1,1,1,1,0,4943,1,1000,是,6253,2,617,3,1108,非常不满意,1102,2,5656,3,1082,1,48753,是,19722,3,578,3,1094,1,1000,3,6176,4,1094,,
501.0,谣言信息1 展示,辟谣信息1d,19798,41-50岁,604,硕士及以上,588,1,1,0,1,1,0,1,0,4965,1,1000,是,6219,7,583,5,1081,非常不满意,1066,3,5698,5,1094,1,48673,是,19738,4,622,1,1111,1,1000,3,6212,1,1079,完全改变观点，现在完全不相信,6203
504.0,谣言信息1 展示,辟谣信息1d,19762,60岁以上,600,初中及以下,605,1,1,0,1,0,1,0,0,3869,1,1000,是,6246,6,608,6,1092,非常不满意,1102,3,5683,3,1084,1,48599,是,19780,4,604,4,1074,1,1000,5,6192,5,1093,观点发生明显变化，现在不太相信,6222
514.0,谣言信息1 展示,辟谣信息1d,19534,60岁以上,624,初中及以下,611,1,1,1,1,1,1,0,0,6123,1,1000,是,6278,3,610,2,1100,非常不满意,1108,4,5685,2,1099,1,48674,是,19773,1,568,6,1104,1,1000,7,6179,4,1071,,
561.0,谣言信息1 展示,辟谣信息1d,19494,31-40岁,594,本科,605,1,1,1,0,0,0,0,0,2790,1,1000,是,6214,1,596,1,1079,非常不满意,1088,1,5676,2,1094,1,48702,是,19760,2,585,3,1092,1,1000,2,6212,2,1094,,
584.0,谣言信息1 展示,辟谣信息1d,19336,18-30岁,587,本科,591,0,0,1,1,1,0,1,0,3892,1,1000,是,6204,7,625,7,1097,非常不满意,1087,4,5667,4,1098,1,48690,是,19766,1,580,3,1104,1,1000,2,6210,4,1114,有些动摇，但仍倾向相信,6212
600.0,谣言信息1 展示,辟谣信息1d,19803,60岁以上,680,高中/中专,583,1,1,0,1,0,1,0,0,3938,1,1000,是,6238,3,589,3,1153,非常不满意,1077,3,5663,2,1077,1,48624,是,19767,2,602,2,1102,1,1000,1,6259,3,1117,,
629.0,谣言信息1 展示,辟谣信息1d,18443,41-50岁,583,本科,582,1,1,1,0,1,0,0,0,3772,1,1000,是,6191,2,590,2,1073,非常不满意,1083,3,5654,2,1074,1,48619,是,19750,2,573,3,1097,1,1000,4,6189,5,1070,,
637.0,谣言信息1 展示,辟谣信息1d,19817,60岁以上,605,高中/中专,599,0,1,1,1,0,1,0,0,3793,1,1000,是,6197,2,581,3,1077,非常不满意,1077,3,5654,3,1159,1,48629,是,19744,3,579,4,1075,1,1000,2,6173,2,1062,,
639.0,谣言信息1 展示,辟谣信息1d,19625,51-60岁,580,高中/中专,562,0,0,1,0,0,1,1,0,2761,1,1000,是,6372,7,566,6,1069,非常不满意,1325,7,5716,7,1111,1,48605,是,19748,7,572,7,1089,1,1000,6,6150,6,1097,完全没有变化，仍然相信,6140
651.0,谣言信息1 展示,辟谣信息1d,19583,18-30岁,599,本科,568,0,1,0,1,1,0,0,0,2698,1,1000,是,6197,3,583,4,1074,非常不满意,1095,2,5640,4,1063,1,48587,是,19766,4,579,1,1109,1,1000,3,6291,1,1091,,
663.0,谣言信息1 展示,辟谣信息1d,19239,31-40岁,588,本科,571,0,1,0,1,1,1,0,0,3777,1,1000,是,6187,7,583,6,1074,非常不满意,1065,6,5685,7,1075,1,48639,是,19744,7,561,7,1074,1,1000,6,6160,6,1073,完全改变观点，现在完全不相信,6165
699.0,谣言信息1 展示,辟谣信息1d,19062,51-60岁,627,高中/中专,577,1,1,0,0,1,0,0,0,2720,1,1000,是,6163,7,575,7,1061,非常不满意,1067,7,5673,7,1083,1,48618,是,19739,6,561,6,1058,1,1000,6,6157,6,1058,完全没有变化，仍然相信,6153
714.0,谣言信息1 展示,辟谣信息1d,19771,31-40岁,578,高中/中专,580,1,0,1,0,1,1,0,0,3809,1,1000,是,6201,7,591,7,1071,非常不满意,1063,7,5665,7,1081,1,48595,是,19729,6,582,6,1068,1,1000,6,6169,6,1070,观点发生明显变化，现在不太相信,6152
731.0,谣言信息1 展示,辟谣信息1d,19791,31-40岁,583,硕士及以上,597,0,0,1,1,1,1,1,0,4892,1,1000,是,6207,2,579,2,1072,非常不满意,1066,7,5652,4,1064,1,48600,是,19737,3,579,1,1081,1,1000,1,6159,4,1085,,
733.0,谣言信息1 展示,辟谣信息1d,19777,18-30岁,567,本科,586,1,1,1,0,1,0,1,0,4837,1,1000,是,6170,2,578,3,1082,非常不满意,1064,2,5682,1,1079,1,48608,是,19732,2,576,3,1068,1,1000,4,6178,6,1063,,
740.0,谣言信息1 展示,辟谣信息1d,19815,60岁以上,591,硕士及以上,562,1,0,0,0,1,1,0,0,2729,1,1000,是,6184,2,570,3,1066,非常不满意,1070,1,5680,2,1092,1,48631,是,19729,3,581,3,1069,1,1000,5,6161,5,1066,,
770.0,谣言信息1 展示,辟谣信息1d,20181,51-60岁,578,初中及以下,563,0,1,1,0,1,1,1,0,4851,1,1000,是,6223,4,580,3,1075,非常不满意,1068,5,5680,4,1066,1,48647,是,19752,4,566,5,1072,1,1000,2,6173,3,1071,,
784.0,谣言信息1 展示,辟谣信息1d,18779,51-60岁,603,本科,592,0,0,1,1,1,1,0,0,3811,1,1000,是,6186,7,587,7,1081,非常不满意,1079,7,5644,6,1071,1,49232,是,19760,6,569,6,1073,1,1000,6,6166,6,1076,有些动摇，但仍倾向相信,6171
786.0,谣言信息1 展示,辟谣信息1d,19780,31-40岁,592,硕士及以上,570,1,0,0,1,0,0,1,0,2690,1,1000,是,6186,4,582,4,1067,非常不满意,1082,4,5653,4,1084,1,48597,是,19724,2,590,3,1064,1,1000,2,6170,3,1076,,
796.0,谣言信息1 展示,辟谣信息1d,19685,31-40岁,588,硕士及以上,593,1,1,0,1,0,0,1,0,3793,1,1000,是,6170,6,579,6,1066,非常不满意,1078,6,5648,6,1075,1,48651,是,19728,6,570,6,1068,1,1000,6,6196,6,1067,完全没有变化，仍然相信,6165
