Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,请阅读以下健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).112,您是否曾见过包含以上内容的信息？.20,作答时长(毫秒).113,您认为这条信息的可信度如何？.4,作答时长(毫秒).114,如果您在社交媒体上看到此类信息，您会传播吗？.3,作答时长(毫秒).115,本题检测是否真人作答.4,作答时长(毫秒).116,您认为使用偏方应对烫伤会有用吗？,作答时长(毫秒).117,您认为这些土办法会对健康造成危害吗？,作答时长(毫秒).118,观看以下信息并回答问题.19,作答时长(毫秒).131,您是否曾见过包含以上内容的信息？.24,作答时长(毫秒).132,您认为这条健康信息的可信度如何？.19,作答时长(毫秒).133,您是否愿意分享该健康信息？.23,作答时长(毫秒).134,请回顾初始健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).135,您现在认为这条信息的可信度如何？.1,作答时长(毫秒).136,您是否愿意分享该健康信息？.24,作答时长(毫秒).137,观看信息前后，您的观点是否发生变化？.4,作答时长(毫秒).138
165.0,谣言信息5展示,辟谣信息5c,14647,60岁以上,556,高中/中专,545,0,0,1,1,0,1,1,0,1565,1,1000,是,5415,6,544,6,1036,非常不满意,1045,6,6151,6,1043,1,70822,是,21458,6,550,6,1041,1,1000,6,6098,6,1039,完全没有变化，仍然相信,6087
169.0,谣言信息5展示,辟谣信息5c,13130,18-30岁,550,硕士及以上,557,0,0,1,1,1,0,1,0,1613,1,1000,是,5418,7,541,6,1034,非常不满意,1056,6,6152,7,1060,1,70767,是,21435,6,555,6,1035,1,1000,6,6117,6,1043,完全没有变化，仍然相信,6107
178.0,谣言信息5展示,辟谣信息5c,14718,18-30岁,542,本科,548,1,1,0,0,0,1,0,0,1224,1,1000,是,5404,6,541,6,1048,非常不满意,1051,6,6201,6,1042,1,70803,是,21430,7,549,6,1038,1,1000,7,6126,7,1040,完全没有变化，仍然相信,6096
184.0,谣言信息5展示,辟谣信息5c,14736,18-30岁,549,初中及以下,559,1,1,1,1,0,1,1,0,2271,1,1000,是,5413,6,548,6,1032,非常不满意,1069,6,6144,6,1041,1,70802,是,21421,7,547,7,1068,1,1000,7,6101,6,1036,完全没有变化，仍然相信,6104
194.0,谣言信息5展示,辟谣信息5c,14552,41-50岁,549,硕士及以上,564,1,1,0,1,1,1,0,0,1907,1,1000,是,5420,6,550,6,1048,非常不满意,1059,6,6148,6,1054,1,70776,是,21437,7,565,6,1049,1,1000,7,6118,7,1038,完全没有变化，仍然相信,6128
286.0,谣言信息5展示,辟谣信息5c,13196,18-30岁,575,硕士及以上,541,1,1,0,1,0,0,0,0,1233,1,1000,是,5417,6,556,6,1035,非常不满意,1051,6,6150,6,1040,1,70775,是,21434,6,534,7,1041,1,1000,6,6098,6,1036,完全没有变化，仍然相信,6095
325.0,谣言信息5展示,辟谣信息5c,14767,41-50岁,550,硕士及以上,549,0,1,1,0,0,1,1,0,1560,1,1000,是,5404,6,553,6,1039,非常不满意,1060,6,6145,6,1045,1,70806,是,21427,7,547,7,1052,1,1000,6,6114,7,1044,完全没有变化，仍然相信,6109
335.0,谣言信息5展示,辟谣信息5c,13961,31-40岁,548,高中/中专,552,0,0,1,1,1,1,0,0,1551,1,1000,是,5400,7,546,7,1035,非常不满意,1055,6,6149,6,1046,1,70763,是,21423,7,540,7,1048,1,1000,7,6115,6,1039,完全没有变化，仍然相信,6088
350.0,谣言信息5展示,辟谣信息5c,14620,51-60岁,548,初中及以下,546,1,0,1,0,1,1,1,0,1929,1,1000,是,5414,6,538,6,1047,非常不满意,1058,7,6158,7,1043,1,70751,是,21424,6,546,6,1045,1,1000,6,6086,6,1039,完全没有变化，仍然相信,6092
379.0,谣言信息5展示,辟谣信息5c,6050,31-40岁,3333,本科,29789,0,1,0,0,0,0,0,0,1970,1,1000,是,3277,6,914,5,329,非常不满意,419,5,61550,6,293,1,10738,是,1060,5,967,6,847,1,1000,6,2262,5,345,有些动摇，但仍倾向相信,2330
393.0,谣言信息5展示,辟谣信息5c,1049,31-40岁,293,本科,1549,0,1,0,0,0,0,0,0,371,1,1000,是,3899,1,1045,1,4005,非常不满意,1663,2,2165,2,659,1,8868,否,314,1,1465,1,429,1,1000,2,2769,2,334,,
394.0,谣言信息5展示,辟谣信息5c,14158,31-40岁,369,本科,1482,0,1,0,0,0,0,0,0,830,1,1000,是,651,6,3635,5,489,非常不满意,1410,4,529,4,2068,1,9065,否,2055,5,414,3,310,1,1000,5,3429,4,288,观点发生明显变化，现在不太相信,2274
439.0,谣言信息5展示,辟谣信息5c,1045,18-30岁,233,高中/中专,778,0,1,0,0,0,0,0,0,251,1,1000,是,2109,5,1220,3,317,非常不满意,760,5,1698,5,185,1,34633,是,1165,5,1114,4,238,1,1000,5,5737,4,216,有些动摇，但仍倾向相信,1251
448.0,谣言信息5展示,辟谣信息5c,1312,31-40岁,667,本科,1843,1,1,1,0,0,0,0,0,1359,1,1000,是,3656,7,1672,5,599,非常不满意,1804,7,2359,3,937,1,18328,是,2261,5,1054,4,481,1,1000,6,5318,6,445,完全没有变化，仍然相信,1953
457.0,谣言信息5展示,辟谣信息5c,912,18-30岁,366,本科,1061,0,1,0,0,0,0,1,0,2121,1,1000,是,2409,7,658,4,287,非常不满意,1154,7,8081,5,256,1,6368,是,1658,7,1622,6,378,1,1000,7,3157,5,273,观点发生明显变化，现在不太相信,1513
512.0,谣言信息5展示,辟谣信息5c,16841,31-40岁,615,本科,605,1,1,1,1,0,0,1,0,4983,1,1000,是,6238,2,607,2,1115,非常不满意,1099,5,5658,5,1093,1,56983,是,11439,5,588,6,1073,1,1000,4,6188,6,1102,,
521.0,谣言信息5展示,辟谣信息5c,18439,41-50岁,612,高中/中专,605,0,1,0,0,0,1,1,0,2762,1,1000,是,6248,7,609,6,1084,非常不满意,1082,4,5682,5,1083,1,57008,是,11426,4,572,5,1074,1,1000,4,6181,4,1095,观点发生明显变化，现在不太相信,6171
582.0,谣言信息5展示,辟谣信息5c,19710,18-30岁,578,硕士及以上,608,1,1,1,1,1,0,0,0,4912,1,1000,是,6266,6,580,3,1082,非常不满意,1064,6,5691,3,1079,1,56917,是,11430,5,573,4,1078,1,1000,3,6175,5,1084,观点发生明显变化，现在不太相信,6163
589.0,谣言信息5展示,辟谣信息5c,19575,41-50岁,621,高中/中专,589,0,0,0,0,1,1,1,0,2796,1,1000,是,6217,1,601,1,1099,非常不满意,1111,2,5678,3,1089,1,56927,是,11460,4,605,1,1084,1,1000,4,6177,3,1093,,
594.0,谣言信息5展示,辟谣信息5c,18674,18-30岁,586,本科,585,1,1,0,0,1,1,1,0,4909,1,1000,是,6238,2,623,3,1111,非常不满意,1085,6,5703,4,1091,1,56935,是,11449,6,588,4,1083,1,1000,5,6199,6,1081,,
596.0,谣言信息5展示,辟谣信息5c,19122,31-40岁,581,本科,598,1,1,1,1,1,1,0,0,6120,1,1000,是,6220,6,613,6,1100,非常不满意,1084,7,5681,7,1118,1,56913,是,11441,7,616,7,1066,1,1000,6,6198,6,1096,完全改变观点，现在完全不相信,6230
602.0,谣言信息5展示,辟谣信息5c,19415,31-40岁,590,初中及以下,591,0,0,1,1,1,1,0,0,3823,1,1000,是,6217,1,571,1,1081,非常不满意,1068,1,5689,4,1090,1,56973,是,11437,3,565,3,1098,1,1000,4,6226,2,1140,,
620.0,谣言信息5展示,辟谣信息5c,19437,18-30岁,589,本科,568,1,1,1,0,0,1,0,0,3807,1,1000,是,6224,3,615,3,1069,非常不满意,1059,2,5644,2,1069,1,56883,是,11446,2,568,3,1084,1,1000,4,6336,6,1107,,
665.0,谣言信息5展示,辟谣信息5c,19637,31-40岁,588,本科,638,0,1,0,1,0,1,0,0,2734,1,1000,是,6215,6,577,7,1063,非常不满意,1105,7,5623,7,1061,1,57409,是,11456,6,575,6,1080,1,1000,6,6215,6,1076,有些动摇，但仍倾向相信,6152
673.0,谣言信息5展示,辟谣信息5c,19693,60岁以上,592,硕士及以上,579,1,1,1,0,0,1,1,0,4833,1,1000,是,6225,3,627,3,1162,非常不满意,1137,5,5700,4,1073,1,56980,是,11460,2,562,4,1064,1,1000,2,6187,4,1079,,
691.0,谣言信息5展示,辟谣信息5c,19766,51-60岁,603,高中/中专,582,0,1,1,1,1,1,1,0,5944,1,1000,是,6190,2,605,4,1088,非常不满意,1071,4,5656,2,1077,1,56909,是,11456,3,575,4,1061,1,1000,2,6170,4,1090,,
761.0,谣言信息5展示,辟谣信息5c,19231,18-30岁,585,初中及以下,574,1,0,1,1,0,0,1,0,3827,1,1000,是,6211,7,597,7,1069,非常不满意,1069,7,5659,7,1072,1,56880,是,11440,6,581,6,1071,1,1000,6,6152,6,1075,观点发生明显变化，现在不太相信,6148
774.0,谣言信息5展示,辟谣信息5c,19970,60岁以上,580,高中/中专,578,1,1,1,0,0,1,1,0,4870,1,1000,是,6188,1,589,2,1083,非常不满意,1066,5,5634,5,1065,1,56855,是,11472,5,621,6,1073,1,1000,6,6156,4,1073,,
809.0,谣言信息5展示,辟谣信息5c,19805,60岁以上,602,初中及以下,615,0,0,1,1,1,0,0,0,2803,1,1000,是,6258,5,615,5,1102,非常不满意,1110,5,5683,4,1093,1,56921,是,11477,4,606,4,1089,1,1000,6,6176,4,1086,有些动摇，但仍倾向相信,6167
811.0,谣言信息5展示,辟谣信息5c,19815,60岁以上,625,高中/中专,596,1,1,1,1,1,1,0,0,6069,1,1000,是,6251,7,598,7,1083,非常不满意,1088,6,5668,7,1122,1,56942,是,11455,7,572,7,1096,1,1000,6,6204,6,1076,完全改变观点，现在完全不相信,6177
818.0,谣言信息5展示,辟谣信息5c,19868,60岁以上,615,初中及以下,610,1,0,1,1,1,1,1,0,6037,1,1000,是,6210,6,589,6,1101,非常不满意,1092,6,5660,6,1081,1,56942,是,11460,7,604,6,1105,1,1000,7,6169,7,1072,完全改变观点，现在完全不相信,6219
