Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.9,作答时长(毫秒).69,您是否曾见过包含以上内容的信息？.12,作答时长(毫秒).70,您认为这条健康信息的可信度如何？.9,作答时长(毫秒).71,您是否愿意分享该健康信息？.11,作答时长(毫秒).72,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
378.0,谣言信息3 展示,辟谣信息3b,9569,31-40岁,1044,高中/中专,1609,0,1,0,0,0,0,0,0,1448,1,1000,是,3027,4,413,5,496,非常不满意,792,4,124816,5,533,1,1000,是,2528,5,1967,6,320,1,1000,5,3226,6,893,,
408.0,谣言信息3 展示,辟谣信息3b,2191,41-50岁,3153,高中/中专,4493,1,1,1,1,1,1,1,0,9146,1,1000,是,24236,6,5228,3,6971,非常不满意,2313,7,8773,6,1949,1,1000,是,27318,5,23308,6,6258,1,1000,1,13475,1,2964,完全改变观点，现在完全不相信,9548
441.0,谣言信息3 展示,辟谣信息3b,914,31-40岁,1119,本科,1345,0,1,1,0,0,0,0,0,2626,1,1000,是,2597,2,10161,1,3524,非常不满意,2122,4,3445,5,281,1,1000,是,2434,6,452,6,249,1,1000,7,1839,6,248,,
445.0,谣言信息3 展示,辟谣信息3b,2972,18-30岁,715,本科,2210,0,1,0,0,0,0,0,0,711,1,1000,是,4858,5,1130,3,630,非常不满意,4071,5,10711,4,467,1,1000,是,2944,5,2678,4,530,1,1000,6,3506,4,966,有些动摇，但仍倾向相信,2072
485.0,谣言信息3 展示,辟谣信息3b,19741,18-30岁,616,初中及以下,588,1,1,0,0,0,1,1,0,3880,1,1000,是,6224,6,612,6,1106,非常不满意,1103,6,5684,6,1097,1,1000,是,6222,6,581,6,1085,1,1000,6,6204,6,1093,有些动摇，但仍倾向相信,6166
520.0,谣言信息3 展示,辟谣信息3b,19822,31-40岁,595,本科,586,1,0,1,0,1,1,0,0,3914,1,1000,是,6221,6,593,6,1079,非常不满意,1070,4,5726,6,1089,1,1000,是,6219,6,580,5,1113,1,1000,3,6220,3,1117,观点发生明显变化，现在不太相信,6204
522.0,谣言信息3 展示,辟谣信息3b,17611,51-60岁,584,高中/中专,595,0,1,0,0,1,0,0,0,1672,1,1000,是,6229,4,583,2,1075,非常不满意,1059,3,5657,4,1084,1,1000,是,6205,3,589,4,1096,1,1000,3,6160,4,1071,,
534.0,谣言信息3 展示,辟谣信息3b,19317,31-40岁,589,初中及以下,609,1,1,1,0,0,0,1,0,3877,1,1000,是,6225,5,592,5,1088,非常不满意,1092,3,5668,4,1081,1,1000,是,6190,4,591,5,1079,1,1000,6,6214,6,1109,观点发生明显变化，现在不太相信,6183
542.0,谣言信息3 展示,辟谣信息3b,19566,60岁以上,634,初中及以下,618,1,0,0,0,1,1,1,0,3940,1,1000,是,6224,6,608,3,1082,非常不满意,1088,5,5682,4,1104,1,1000,是,6193,4,586,6,1087,1,1000,6,6163,4,1060,观点发生明显变化，现在不太相信,6173
549.0,谣言信息3 展示,辟谣信息3b,19584,41-50岁,604,本科,584,1,1,1,1,0,1,0,0,4931,1,1000,是,6220,2,571,2,1104,非常不满意,1105,4,5659,4,1112,1,1000,是,6179,4,590,1,1078,1,1000,2,6176,2,1073,,
554.0,谣言信息3 展示,辟谣信息3b,19598,51-60岁,625,硕士及以上,619,1,0,0,0,0,1,1,0,2802,1,1000,是,6272,3,605,2,1107,非常不满意,1099,5,5703,4,1090,1,1000,是,6206,3,570,3,1119,1,1000,2,6195,2,1113,,
566.0,谣言信息3 展示,辟谣信息3b,17090,31-40岁,590,高中/中专,614,1,1,1,0,1,1,0,0,4965,1,1000,是,6203,6,597,4,1089,非常不满意,1119,5,5693,4,1092,1,1000,是,6182,3,584,3,1079,1,1000,3,6165,4,1073,有些动摇，但仍倾向相信,6179
578.0,谣言信息3 展示,辟谣信息3b,19205,31-40岁,600,硕士及以上,605,0,1,1,0,1,1,1,0,4931,1,1000,是,6222,1,601,3,1093,非常不满意,1081,4,5667,6,1080,1,1000,是,6196,3,592,4,1080,1,1000,6,6152,3,1095,,
608.0,谣言信息3 展示,辟谣信息3b,19310,31-40岁,579,高中/中专,575,0,1,1,1,0,1,1,0,4987,1,1000,是,6184,7,639,6,1092,非常不满意,1085,6,5782,7,1079,1,1000,是,6174,6,576,7,1075,1,1000,6,6201,7,1069,观点发生明显变化，现在不太相信,6177
613.0,谣言信息3 展示,辟谣信息3b,19323,41-50岁,617,硕士及以上,588,1,0,1,1,1,1,0,0,4865,1,1000,是,6177,6,588,6,1086,非常不满意,1064,6,5653,6,1075,1,1000,是,6176,6,558,6,1082,1,1000,6,6160,6,1060,完全没有变化，仍然相信,6167
615.0,谣言信息3 展示,辟谣信息3b,19888,51-60岁,597,硕士及以上,570,0,0,1,1,1,1,1,0,4969,1,1000,是,6189,6,573,6,1073,非常不满意,1065,6,5650,6,1077,1,1000,是,6166,6,568,6,1061,1,1000,6,6153,6,1103,有些动摇，但仍倾向相信,6199
616.0,谣言信息3 展示,辟谣信息3b,19760,41-50岁,580,高中/中专,581,1,1,0,1,0,1,0,0,3774,1,1000,是,6195,7,570,4,1071,非常不满意,1088,6,5651,4,1070,1,1000,是,6155,7,576,7,1065,1,1000,7,6139,4,1082,完全改变观点，现在完全不相信,6145
624.0,谣言信息3 展示,辟谣信息3b,19521,60岁以上,588,硕士及以上,583,0,1,1,0,0,1,1,0,3825,1,1000,是,6198,7,572,6,1081,非常不满意,1078,7,5654,7,1099,1,1000,是,6204,7,572,7,1081,1,1000,7,6119,6,1067,完全改变观点，现在完全不相信,6172
627.0,谣言信息3 展示,辟谣信息3b,19632,18-30岁,598,硕士及以上,580,1,0,0,0,1,0,1,0,2689,1,1000,是,6175,3,574,2,1079,非常不满意,1068,3,5651,4,1079,1,1000,是,6175,6,577,6,1068,1,1000,6,6174,7,1079,,
632.0,谣言信息3 展示,辟谣信息3b,18369,60岁以上,574,硕士及以上,562,1,1,0,1,1,0,1,0,4833,1,1000,是,6193,1,589,3,1079,非常不满意,1083,1,5698,3,1081,1,1000,是,6181,1,559,2,1079,1,1000,4,6176,2,1067,,
685.0,谣言信息3 展示,辟谣信息3b,19641,51-60岁,595,本科,619,1,1,0,1,1,1,1,0,5984,1,1000,是,6201,6,577,6,1079,非常不满意,1073,6,5683,6,1111,1,1000,是,6274,7,567,7,1071,1,1000,7,6189,6,1097,完全没有变化，仍然相信,6146
687.0,谣言信息3 展示,辟谣信息3b,19804,31-40岁,586,高中/中专,579,1,1,0,1,1,0,1,0,4891,1,1000,是,6198,7,588,7,1071,非常不满意,1077,7,5645,6,1072,1,1000,是,6224,6,568,6,1062,1,1000,6,6135,6,1062,有些动摇，但仍倾向相信,6170
689.0,谣言信息3 展示,辟谣信息3b,19788,31-40岁,580,本科,595,1,1,0,0,0,0,1,0,2763,1,1000,是,6203,4,586,3,1067,非常不满意,1075,5,5674,4,1064,1,1000,是,6461,2,606,1,1087,1,1000,1,6179,2,1097,,
701.0,谣言信息3 展示,辟谣信息3b,19703,60岁以上,684,本科,580,1,0,1,1,0,1,1,0,4863,1,1000,是,6192,6,610,6,1074,非常不满意,1071,6,5697,6,1083,1,1000,是,6166,6,576,6,1068,1,1000,6,6131,6,1065,完全没有变化，仍然相信,6144
711.0,谣言信息3 展示,辟谣信息3b,19814,31-40岁,573,初中及以下,568,0,1,0,1,0,1,1,0,3840,1,1000,是,6185,7,612,7,1096,非常不满意,1079,7,5666,7,1076,1,1000,是,6156,7,569,7,1055,1,1000,6,6162,7,1065,完全改变观点，现在完全不相信,6174
728.0,谣言信息3 展示,辟谣信息3b,19620,31-40岁,588,高中/中专,595,0,1,1,1,0,0,1,0,3811,1,1000,是,6165,6,581,6,1065,非常不满意,1075,6,5636,6,1070,1,1000,是,6188,6,568,6,1078,1,1000,6,6144,6,1060,完全没有变化，仍然相信,6128
752.0,谣言信息3 展示,辟谣信息3b,19573,18-30岁,597,本科,574,0,1,1,1,0,1,0,0,3851,1,1000,是,6183,7,573,7,1082,非常不满意,1069,7,5668,6,1065,1,1000,是,6186,7,582,7,1068,1,1000,6,6168,7,1080,完全改变观点，现在完全不相信,6164
764.0,谣言信息3 展示,辟谣信息3b,19720,18-30岁,583,硕士及以上,573,0,1,1,1,1,0,1,0,4893,1,1000,是,6175,6,600,6,1087,非常不满意,1065,6,5674,6,1083,1,1000,是,6201,6,582,6,1057,1,1000,6,6180,6,1058,观点发生明显变化，现在不太相信,6141
766.0,谣言信息3 展示,辟谣信息3b,19791,31-40岁,574,硕士及以上,577,0,1,1,1,0,1,1,0,4847,1,1000,是,6185,3,594,2,1076,非常不满意,1077,3,5678,4,1086,1,1000,是,6219,3,563,3,1061,1,1000,4,6159,5,1068,,
787.0,谣言信息3 展示,辟谣信息3b,18751,31-40岁,568,本科,596,1,1,1,0,1,0,0,0,3789,1,1000,是,6186,4,566,3,1087,非常不满意,1071,4,5658,4,1066,1,1000,是,6165,3,572,5,1081,1,1000,2,6143,3,1074,,
799.0,谣言信息3 展示,辟谣信息3b,19344,51-60岁,607,高中/中专,579,1,0,1,0,0,1,1,0,3825,1,1000,是,6237,4,588,5,1077,非常不满意,1089,5,5663,5,1080,1,1000,是,6191,3,604,4,1084,1,1000,5,6179,2,1086,,
