Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.10,作答时长(毫秒).73,您是否曾见过包含以上内容的信息？.13,作答时长(毫秒).74,您认为这条健康信息的可信度如何？.10,作答时长(毫秒).75,您是否愿意分享该健康信息？.12,作答时长(毫秒).76,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
132.0,谣言信息3 展示,辟谣信息3c,887,18-30岁,958,本科,1085,0,1,1,0,1,1,0,0,1238,1,1000,是,2244,5,899,3,756,非常不满意,839,5,7324,4,370,1,29048,是,1636,5,1582,4,1120,1,1000,3,4540,4,2289,有些动摇，但仍倾向相信,2985
133.0,谣言信息3 展示,辟谣信息3c,810,41-50岁,336,本科,875,0,0,1,0,0,0,0,0,912,1,1000,否,4041,5,4601,3,415,非常不满意,350,5,3219,4,493,1,18637,否,1949,6,1716,6,502,1,1000,4,4068,4,316,观点发生明显变化，现在不太相信,1542
139.0,谣言信息3 展示,辟谣信息3c,593,31-40岁,208,本科,742,0,0,0,1,1,0,0,0,941,1,1000,是,2522,6,446,5,300,非常不满意,1185,7,369,6,2283,1,8425,是,1348,4,772,3,729,1,1000,7,3081,5,213,有些动摇，但仍倾向相信,1104
144.0,谣言信息3 展示,辟谣信息3c,928,41-50岁,353,本科,2793,0,0,0,1,0,0,0,0,231,1,1000,是,3039,7,2344,5,699,非常不满意,1555,7,2918,5,245,1,9399,否,1775,7,1740,5,212,1,1000,6,6557,5,539,有些动摇，但仍倾向相信,997
157.0,谣言信息3 展示,辟谣信息3c,1114,60岁以上,890,高中/中专,311,0,0,1,0,0,0,0,0,1045,1,1000,是,2153,5,7055,3,1414,非常不满意,1029,7,314,5,2874,1,36650,否,3094,5,1099,3,355,1,1000,5,6992,3,388,观点发生明显变化，现在不太相信,1718
160.0,谣言信息3 展示,辟谣信息3c,14705,51-60岁,550,初中及以下,551,1,1,0,1,1,0,1,0,1911,1,1000,是,5428,6,551,6,1050,非常不满意,1047,6,6143,6,1040,1,47690,是,44535,7,544,7,1045,1,1000,7,6100,6,1037,完全没有变化，仍然相信,6091
216.0,谣言信息3 展示,辟谣信息3c,840,41-50岁,750,高中/中专,788,0,0,0,0,1,0,0,0,5903,1,1000,是,8673,5,6509,4,928,非常不满意,4711,4,350,5,3296,1,10483,是,1884,6,476,5,1082,1,1000,5,3174,5,218,有些动摇，但仍倾向相信,1001
235.0,谣言信息3 展示,辟谣信息3c,14764,41-50岁,559,初中及以下,559,0,1,0,1,1,0,1,0,1588,1,1000,是,5419,6,550,6,1033,非常不满意,1048,6,6144,6,1043,1,47661,是,44553,6,553,6,1039,1,1000,7,6108,6,1037,完全没有变化，仍然相信,6086
252.0,谣言信息3 展示,辟谣信息3c,12598,31-40岁,547,初中及以下,543,0,1,1,1,1,1,0,0,1909,1,1000,是,5412,6,539,6,1042,非常不满意,1062,6,6134,6,1051,1,47678,是,44537,6,533,7,1039,1,1000,7,6101,6,1035,完全没有变化，仍然相信,6081
349.0,谣言信息3 展示,辟谣信息3c,14721,51-60岁,548,高中/中专,541,1,1,0,0,1,1,1,0,1937,1,1000,是,5803,6,669,6,1062,非常不满意,1059,7,6167,6,1038,1,47674,是,44532,7,545,6,1043,1,1000,6,6105,6,1033,完全没有变化，仍然相信,6084
362.0,谣言信息3 展示,辟谣信息3c,14217,31-40岁,558,初中及以下,558,0,1,1,0,1,0,1,0,1637,1,1000,是,5427,7,555,7,1045,非常不满意,1072,6,6141,6,1036,1,47689,是,44528,6,540,7,1039,1,1000,7,6093,6,1046,完全没有变化，仍然相信,6081
363.0,谣言信息3 展示,辟谣信息3c,14494,41-50岁,552,硕士及以上,541,1,1,1,0,0,1,0,0,1597,1,1000,是,5435,6,544,6,1054,非常不满意,1053,6,6176,6,1047,1,47690,是,44522,6,536,6,1031,1,1000,6,6089,7,1045,完全没有变化，仍然相信,6076
385.0,谣言信息3 展示,辟谣信息3c,1137,18-30岁,724,硕士及以上,2395,0,1,1,1,0,0,0,0,698,1,1000,是,2669,7,565,6,1183,非常不满意,788,7,2479,6,261,1,4087,是,850,7,1028,7,364,1,1000,7,2070,7,220,完全没有变化，仍然相信,1106
398.0,谣言信息3 展示,辟谣信息3c,242,41-50岁,1044,高中/中专,1028,0,1,0,0,0,1,0,0,977,1,1000,是,3615,7,991,6,267,非常不满意,915,6,376,7,5056,1,10914,否,1217,7,981,5,248,1,1000,7,1942,5,279,有些动摇，但仍倾向相信,1311
410.0,谣言信息3 展示,辟谣信息3c,1270,18-30岁,309,本科,400,0,0,0,1,1,0,0,0,975,1,1000,是,2423,7,1109,6,228,非常不满意,332,7,3766,6,297,1,5399,是,898,4,398,7,556,1,1000,7,2794,6,827,观点发生明显变化，现在不太相信,2406
446.0,谣言信息3 展示,辟谣信息3c,7705,31-40岁,880,初中及以下,1165,0,0,0,1,0,0,0,0,1952,1,1000,否,389,6,4426,3,2536,非常不满意,1409,6,2249,3,630,1,11672,是,2659,5,981,4,465,1,1000,5,4407,4,294,观点发生明显变化，现在不太相信,1353
461.0,谣言信息3 展示,辟谣信息3c,1060,31-40岁,230,本科,1353,0,0,1,0,0,0,0,0,236,1,1000,是,1819,7,570,6,225,非常不满意,998,6,236,6,1532,1,3862,是,1147,7,522,6,217,1,1000,7,2167,6,238,有些动摇，但仍倾向相信,1024
497.0,谣言信息3 展示,辟谣信息3c,19164,31-40岁,603,初中及以下,599,1,0,0,0,1,0,1,0,2826,1,1000,是,6222,3,588,3,1072,非常不满意,1095,5,5736,5,1097,1,33866,是,34523,2,581,1,1074,1,1000,6,6171,5,1085,,
519.0,谣言信息3 展示,辟谣信息3c,19071,60岁以上,617,初中及以下,608,1,1,0,0,1,1,1,0,4908,1,1000,是,6238,5,585,5,1082,非常不满意,1088,5,5644,2,1090,1,33844,是,34577,6,607,6,1090,1,1000,4,6244,4,1099,完全没有变化，仍然相信,6223
538.0,谣言信息3 展示,辟谣信息3c,19614,18-30岁,608,硕士及以上,587,1,0,1,1,0,0,1,0,3800,1,1000,是,6226,7,614,4,1090,非常不满意,1082,3,5691,5,1094,1,33807,是,34535,1,592,4,1090,1,1000,4,6190,3,1072,完全没有变化，仍然相信,6163
547.0,谣言信息3 展示,辟谣信息3c,19437,31-40岁,633,硕士及以上,587,0,1,0,0,1,1,0,0,2797,1,1000,是,6237,4,575,4,1094,非常不满意,1087,5,5709,4,1078,1,34321,是,34560,3,606,6,1083,1,1000,4,6151,6,1094,,
567.0,谣言信息3 展示,辟谣信息3c,19630,31-40岁,590,初中及以下,579,1,1,1,0,0,1,0,0,3814,1,1000,是,6180,5,613,5,1103,非常不满意,1083,5,5660,4,1084,1,33872,是,34549,5,586,4,1087,1,1000,6,6230,4,1086,完全改变观点，现在完全不相信,6214
581.0,谣言信息3 展示,辟谣信息3c,19372,41-50岁,589,硕士及以上,589,1,1,0,1,1,0,0,0,3779,1,1000,是,6205,7,566,4,1076,非常不满意,1065,4,5648,4,1073,1,33853,是,34516,3,569,3,1068,1,1000,4,6150,2,1063,完全没有变化，仍然相信,6167
586.0,谣言信息3 展示,辟谣信息3c,19825,51-60岁,607,硕士及以上,608,0,1,0,1,1,1,1,0,4964,1,1000,是,6228,6,591,5,1083,非常不满意,1073,4,5683,3,1092,1,33860,是,34540,1,605,2,1109,1,1000,1,6232,1,1071,完全没有变化，仍然相信,6197
588.0,谣言信息3 展示,辟谣信息3c,19478,51-60岁,649,本科,570,1,1,0,1,1,0,1,0,4910,1,1000,是,6214,6,592,3,1105,非常不满意,1098,6,5684,4,1069,1,33853,是,34547,5,594,4,1102,1,1000,4,6205,4,1077,完全改变观点，现在完全不相信,6168
595.0,谣言信息3 展示,辟谣信息3c,18588,31-40岁,606,高中/中专,589,0,1,1,1,0,1,1,0,4853,1,1000,是,6201,2,591,2,1083,非常不满意,1083,2,5646,4,1099,1,34242,是,34542,2,579,2,1067,1,1000,4,6174,5,1081,,
611.0,谣言信息3 展示,辟谣信息3c,19529,41-50岁,593,高中/中专,595,1,0,1,1,1,1,0,0,4862,1,1000,是,6169,3,584,4,1077,非常不满意,1075,1,5676,1,1080,1,33857,是,34573,2,641,4,1060,1,1000,2,6212,2,1067,,
773.0,谣言信息3 展示,辟谣信息3c,19566,60岁以上,584,本科,566,1,0,0,1,1,1,0,0,3774,1,1000,是,6188,5,585,3,1090,非常不满意,1076,2,5653,1,1066,1,33807,是,34576,5,566,4,1066,1,1000,5,6194,6,1103,完全改变观点，现在完全不相信,6187
820.0,谣言信息3 展示,辟谣信息3c,19907,18-30岁,610,硕士及以上,583,0,0,1,1,1,0,0,0,2772,1,1000,是,6220,5,592,3,1103,非常不满意,1083,6,5729,7,1116,1,33848,是,34529,1,586,2,1096,1,1000,4,6211,1,1083,完全改变观点，现在完全不相信,6211
