Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡对身体有害，有致癌风险。,作答时长(毫秒).31,您是否曾见过包含以上内容的信息？.5,作答时长(毫秒).32,您认为这条信息的可信度如何？.1,作答时长(毫秒).33,如果您在社交媒体上看到此类信息，您会传播吗？,作答时长(毫秒).34,本题检测是否真人作答.1,作答时长(毫秒).35,您是否担心喝咖啡对自身健康可能产生的负面影响？,作答时长(毫秒).36,您认为喝咖啡可能对健康造成多大的危害？,作答时长(毫秒).37,观看以下信息并回答问题.5,作答时长(毫秒).42,您是否曾见过包含以上内容的信息？.7,作答时长(毫秒).43,您认为这条健康信息的可信度如何？.5,作答时长(毫秒).44,您是否愿意分享该健康信息？.6,作答时长(毫秒).45,请回顾初始健康信息并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡会致癌。,作答时长(毫秒).54,您现在认为这条信息的可信度如何？,作答时长(毫秒).55,您是否愿意分享该健康信息？.9,作答时长(毫秒).56,观看信息前后，您的观点是否发生变化？.1,作答时长(毫秒).57
206.0,谣言信息2 展示,辟谣信息2b,14122,18-30岁,551,高中/中专,542,1,1,0,0,1,0,0,0,1225,1,1000,是,5400,6,554,6,1050,非常不满意,1055,6,6141,6,1053,1,1000,是,21110,7,542,7,1041,1,1000,7,6106,7,1044,完全没有变化，仍然相信,6099
217.0,谣言信息2 展示,辟谣信息2b,14772,51-60岁,546,高中/中专,557,1,0,1,1,1,0,1,0,1928,1,1000,是,5429,6,548,6,1049,非常不满意,1063,6,6159,6,1043,1,1000,是,21090,7,552,7,1044,1,1000,7,6085,6,1044,完全没有变化，仍然相信,6097
237.0,谣言信息2 展示,辟谣信息2b,10285,18-30岁,535,高中/中专,549,1,1,1,1,1,0,0,0,1914,1,1000,是,5398,6,551,6,1047,非常不满意,1055,6,6230,6,1123,1,1000,是,21153,7,544,7,1043,1,1000,7,6087,7,1042,完全没有变化，仍然相信,6098
261.0,谣言信息2 展示,辟谣信息2b,14658,31-40岁,549,初中及以下,558,0,1,0,1,1,1,0,0,1577,1,1000,是,5436,7,542,7,1040,非常不满意,1057,7,6149,7,1055,1,1000,是,21111,7,535,7,1046,1,1000,7,6088,7,1040,完全没有变化，仍然相信,6096
292.0,谣言信息2 展示,辟谣信息2b,14655,60岁以上,577,初中及以下,538,0,0,1,1,1,0,1,0,1592,1,1000,是,5443,7,559,6,1044,非常不满意,1059,6,6159,6,1050,1,1000,是,21113,7,544,6,1038,1,1000,7,6106,7,1034,完全没有变化，仍然相信,6098
306.0,谣言信息2 展示,辟谣信息2b,14622,18-30岁,548,本科,547,0,0,1,1,0,1,1,0,1584,1,1000,是,5409,7,550,7,1034,非常不满意,1062,6,6178,6,1045,1,1000,是,21087,7,544,6,1047,1,1000,7,6099,6,1038,完全没有变化，仍然相信,6088
351.0,谣言信息2 展示,辟谣信息2b,14465,41-50岁,546,硕士及以上,549,1,1,0,1,0,1,1,0,1904,1,1000,是,5412,7,549,6,1035,非常不满意,1066,6,6141,6,1045,1,1000,是,21109,6,543,6,1038,1,1000,6,6070,6,1042,完全没有变化，仍然相信,6103
402.0,谣言信息2 展示,辟谣信息2b,1463,18-30岁,285,高中/中专,1019,0,1,1,0,0,0,0,0,1240,1,1000,是,9634,7,2937,7,5066,非常不满意,1791,6,4965,6,228,1,1000,是,3759,7,1226,6,527,1,1000,6,5688,7,375,完全没有变化，仍然相信,6325
417.0,谣言信息2 展示,辟谣信息2b,1141,18-30岁,251,初中及以下,4577,1,0,0,0,0,0,0,0,1158,1,1000,是,3151,5,3701,3,277,非常不满意,2334,1,8148,2,277,1,1000,是,3025,2,513,3,324,1,1000,1,251,2,2330,有些动摇，但仍倾向相信,1276
428.0,谣言信息2 展示,辟谣信息2b,2151,31-40岁,852,高中/中专,4540,0,0,1,0,1,1,0,0,1688,1,1000,是,5559,7,2431,7,397,非常不满意,3567,7,3829,7,722,1,1000,是,4576,6,703,5,324,1,1000,7,3474,7,297,完全没有变化，仍然相信,3902
434.0,谣言信息2 展示,辟谣信息2b,1971,31-40岁,2486,本科,1940,0,1,1,0,1,0,0,0,2198,1,1000,是,5102,6,3428,4,820,非常不满意,3294,3,10052,2,4144,1,1000,是,5907,5,829,7,1395,1,1000,4,3145,6,529,有些动摇，但仍倾向相信,3278
476.0,谣言信息2 展示,辟谣信息2b,1119,31-40岁,510,高中/中专,1029,0,0,0,1,0,0,0,0,956,1,1000,否,3204,5,478,5,2314,非常不满意,387,5,4426,5,368,1,1000,是,251,5,2639,5,576,1,1000,4,1139,5,937,有些动摇，但仍倾向相信,1649
491.0,谣言信息2 展示,辟谣信息2b,17998,60岁以上,593,高中/中专,598,1,0,0,1,1,0,1,0,3804,1,1000,是,6194,6,589,3,1091,非常不满意,1084,5,5699,6,1115,1,1000,是,6158,4,596,4,1071,1,1000,3,6158,5,1084,完全改变观点，现在完全不相信,6224
513.0,谣言信息2 展示,辟谣信息2b,13206,18-30岁,608,本科,604,0,1,0,1,1,1,1,0,4916,1,1000,是,6228,6,603,5,1073,非常不满意,1074,5,5669,5,1090,1,1000,是,6176,3,570,3,1091,1,1000,5,6178,5,1072,观点发生明显变化，现在不太相信,6182
518.0,谣言信息2 展示,辟谣信息2b,19082,60岁以上,615,本科,605,0,0,1,1,1,1,1,0,4982,1,1000,是,6240,5,593,5,1091,非常不满意,1080,5,5674,3,1065,1,1000,是,6194,4,604,5,1099,1,1000,5,6201,4,1085,有些动摇，但仍倾向相信,6174
536.0,谣言信息2 展示,辟谣信息2b,20667,31-40岁,598,硕士及以上,577,1,1,0,1,0,1,0,0,3842,1,1000,是,6223,7,614,5,1084,非常不满意,1088,5,5690,4,1080,1,1000,是,6221,5,601,7,1070,1,1000,5,6166,4,1082,有些动摇，但仍倾向相信,6173
569.0,谣言信息2 展示,辟谣信息2b,18682,18-30岁,594,初中及以下,588,1,1,1,0,0,1,0,0,3861,1,1000,是,6235,5,594,4,1097,非常不满意,1086,6,5726,4,1103,1,1000,是,6224,5,585,3,1111,1,1000,3,6179,5,1092,观点发生明显变化，现在不太相信,6187
576.0,谣言信息2 展示,辟谣信息2b,17884,41-50岁,608,本科,597,0,1,0,1,1,0,0,0,2740,1,1000,是,6226,6,592,6,1065,非常不满意,1080,4,5683,4,1083,1,1000,是,6169,3,616,3,1081,1,1000,5,6163,5,1077,完全没有变化，仍然相信,6164
625.0,谣言信息2 展示,辟谣信息2b,19480,60岁以上,577,本科,568,1,0,1,1,0,0,1,0,3759,1,1000,是,6189,6,575,6,1067,非常不满意,1069,7,5655,6,1067,1,1000,是,6194,6,571,7,1071,1,1000,6,6158,6,1056,观点发生明显变化，现在不太相信,6170
644.0,谣言信息2 展示,辟谣信息2b,19301,31-40岁,579,硕士及以上,577,0,1,1,1,0,0,1,0,3877,1,1000,是,6449,7,705,7,1077,非常不满意,1279,7,5699,7,1073,1,1000,是,6186,6,561,6,1074,1,1000,6,6174,6,1055,完全改变观点，现在完全不相信,6159
662.0,谣言信息2 展示,辟谣信息2b,19609,41-50岁,576,硕士及以上,579,1,1,0,1,0,1,1,0,4836,1,1000,是,6214,2,580,2,1068,非常不满意,1068,5,5646,4,1076,1,1000,是,6163,3,579,4,1068,1,1000,3,6183,4,1090,,
679.0,谣言信息2 展示,辟谣信息2b,13357,31-40岁,588,初中及以下,582,1,1,1,0,1,0,0,0,3811,1,1000,是,6220,6,645,5,1081,非常不满意,1073,5,5639,6,1080,1,1000,是,6181,4,607,3,1142,1,1000,3,6245,4,1085,观点发生明显变化，现在不太相信,6195
690.0,谣言信息2 展示,辟谣信息2b,19674,41-50岁,587,本科,586,0,1,1,1,0,1,0,0,3835,1,1000,是,6211,6,582,6,1072,非常不满意,1077,6,5631,7,1076,1,1000,是,6185,7,579,7,1073,1,1000,7,6168,6,1062,观点发生明显变化，现在不太相信,6142
694.0,谣言信息2 展示,辟谣信息2b,19573,51-60岁,581,高中/中专,570,1,0,0,0,0,1,1,0,2741,1,1000,是,6206,6,586,6,1080,非常不满意,1066,6,5650,6,1080,1,1000,是,6160,6,575,6,1070,1,1000,6,6176,6,1068,有些动摇，但仍倾向相信,6133
695.0,谣言信息2 展示,辟谣信息2b,19191,41-50岁,583,高中/中专,582,1,1,1,1,0,0,0,0,3809,1,1000,是,6151,2,580,1,1071,非常不满意,1058,2,5667,1,1072,1,1000,是,6162,2,561,2,1076,1,1000,3,6168,4,1070,,
716.0,谣言信息2 展示,辟谣信息2b,19376,51-60岁,582,高中/中专,566,1,1,0,0,0,1,1,0,3790,1,1000,是,6216,7,623,7,1070,非常不满意,1085,7,5676,7,1078,1,1000,是,6172,6,578,6,1070,1,1000,6,6162,6,1074,完全没有变化，仍然相信,6188
785.0,谣言信息2 展示,辟谣信息2b,19078,51-60岁,590,高中/中专,586,1,0,0,1,1,0,1,0,3769,1,1000,是,6190,7,565,6,1070,非常不满意,1053,6,5639,7,1066,1,1000,是,6133,6,572,6,1067,1,1000,7,6155,7,1067,观点发生明显变化，现在不太相信,6136
793.0,谣言信息2 展示,辟谣信息2b,18522,31-40岁,589,本科,577,1,1,1,0,1,0,1,0,4862,1,1000,是,6220,6,580,6,1069,非常不满意,1083,6,5677,7,1088,1,1000,是,6168,7,590,6,1053,1,1000,7,6186,7,1103,有些动摇，但仍倾向相信,6148
814.0,谣言信息2 展示,辟谣信息2b,19742,41-50岁,593,初中及以下,619,1,1,1,1,0,0,1,0,4945,1,1000,是,6237,4,595,1,1095,非常不满意,1081,5,5684,3,1092,1,1000,是,6195,6,577,5,1092,1,1000,5,6164,4,1081,,
836.0,谣言信息2 展示,辟谣信息2b,19906,31-40岁,612,硕士及以上,590,1,0,0,0,1,1,1,0,3835,1,1000,是,6203,2,576,4,1089,非常不满意,1079,6,5661,7,1085,1,1000,是,6196,5,581,6,1068,1,1000,4,6173,7,1108,,
839.0,谣言信息2 展示,辟谣信息2b,1219,31-40岁,528,高中/中专,888,1,1,1,1,0,0,0,0,2928,1,1000,是,2800,4,672,6,704,非常不满意,664,6,2136,7,552,1,1000,是,2312,6,1312,6,528,1,1000,6,2416,6,560,,
